Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
58 49 40
70 62 54
72 65 57
61 54 47
62 53 44
59 52 45
53 47 41
66 54 41
59 54 49
56 48 40
63 52 41
50 44 37
61 51 41
62 54 46
56 52 47
61 53 45
61 55 49
64 54 44
63 50 37
42 38 34
41 39 36
41 39 37
45 40 35
48 43 38
54 50 45
50 45 40
50 45 39
52 45 38
60 56 51
58 54 50
Max Avg Min
45 39 31
55 51 45
56 52 43
45 35 24
42 36 26
43 35 26
31 27 23
34 32 28
52 44 34
37 31 25
38 29 20
23 20 18
27 24 20
30 22 19
49 45 31
42 37 34
41 39 36
38 37 33
49 45 34
34 29 19
21 18 16
24 20 17
24 22 19
44 36 23
46 43 41
42 37 33
32 29 26
39 31 27
58 54 41
53 51 49
Max Avg Min
85 - 51
77 - 58
84 - 51
66 - 30
62 - 42
66 - 39
65 - 32
65 - 29
93 - 37
77 - 32
54 - 29
48 - 29
55 - 20
34 - 20
93 - 38
86 - 39
71 - 42
76 - 34
80 - 50
85 - 44
52 - 37
59 - 40
59 - 39
93 - 50
92 - 66
83 - 52
76 - 39
64 - 41
93 - 63
100 - 80
Max Avg Min
10 - 0
10 - 0
15 - 0
12 - 0
13 - 0
16 - 5
14 - 0
8 - 0
14 - 0
14 - 0
18 - 0
12 - 0
13 - 0
13 - 0
17 - 0
10 - 0
13 - 0
8 - 0
18 - 0
25 - 5
22 - 6
21 - 7
12 - 0
9 - 0
9 - 0
14 - 0
15 - 0
10 - 0
13 - 0
18 - 0
Max Avg Min
30.4 - 30.3
30.3 - 30.1
30.09 - 29.84
30.24 - 29.97
30.24 - 30.13
30.41 - 30.09
30.49 - 30.3
30.29 - 29.9
29.96 - 29.8
30.04 - 29.71
30.16 - 29.65
30.33 - 30.17
30.16 - 30.03
30.05 - 29.97
29.98 - 29.73
29.89 - 29.74
30.08 - 29.9
30.14 - 30.04
30.04 - 29.58
29.61 - 29.52
29.85 - 29.57
30.21 - 29.86
30.31 - 30.21
30.32 - 30.19
30.26 - 30.13
30.14 - 30.04
30.14 - 30.06
30.22 - 30.12
30.12 - 29.83
29.94 - 29.56
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.06 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.81 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.25 -
- 0.31 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 2.20 -
- 0.73 -
