Sep
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
79 74 69
81 74 66
75 71 66
80 73 65
84 75 65
80 76 71
85 78 71
89 80 71
91 83 75
90 82 74
83 75 67
78 70 62
83 74 64
91 79 67
74 68 61
73 67 61
77 67 59
82 76 70
76 73 69
82 75 68
84 76 68
86 76 65
87 76 64
71 65 58
70 62 54
74 64 54
74 69 64
69 63 56
64 61 57
59 58 56
Max Avg Min
70 68 58
57 54 50
62 58 54
59 54 49
58 52 46
67 61 53
68 66 64
73 69 67
74 70 67
77 73 70
73 61 46
57 51 45
62 59 55
70 62 54
54 48 43
54 53 51
64 58 52
70 67 61
72 69 66
68 67 64
68 56 45
55 51 44
63 57 51
61 52 42
43 39 34
58 47 38
64 60 50
60 57 53
55 53 51
57 54 49
Max Avg Min
93 - 66
68 - 39
81 - 53
78 - 37
56 - 40
84 - 46
84 - 55
84 - 53
94 - 47
94 - 59
85 - 33
73 - 35
78 - 46
84 - 32
67 - 35
72 - 49
87 - 52
84 - 69
100 - 82
93 - 55
90 - 28
68 - 27
78 - 30
93 - 37
64 - 28
72 - 44
87 - 46
93 - 67
87 - 63
93 - 72
Max Avg Min
10 - 0
13 - 4
15 - 4
15 - 4
16 - 5
18 - 6
14 - 0
10 - 0
10 - 0
10 - 0
16 - 4
9 - 0
13 - 0
15 - 0
15 - 0
9 - 0
8 - 0
12 - 0
12 - 0
9 - 0
12 - 0
8 - 0
12 - 0
14 - 0
10 - 0
12 - 0
10 - 0
18 - 0
21 - 7
16 - 7
Max Avg Min
29.96 - 29.83
30.14 - 29.97
30.21 - 30.13
30.25 - 30.17
30.23 - 29.97
30 - 29.93
30.03 - 29.93
29.96 - 29.81
30.02 - 29.82
30.01 - 29.91
30.16 - 29.86
30.27 - 30.17
30.25 - 30.11
30.14 - 29.96
30.29 - 30.16
30.34 - 30.27
30.28 - 30.1
30.11 - 30
30.11 - 29.99
30.15 - 30.07
30.19 - 30.1
30.19 - 30.09
30.07 - 29.92
30.16 - 30.01
30.21 - 30.12
30.21 - 29.99
29.98 - 29.88
30.25 - 29.99
30.38 - 30.25
30.35 - 30.24
Max Avg Min
- 0.50 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.22 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.56 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.68 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.20 -
- 0.00 -
- 0.00 -
- 0.22 -
- 0.00 -
- 0.00 -
- 0.40 -
