Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
23
24
25
26
27
28
29
30
31
Max Avg Min
60 52 44
44 39 34
49 43 36
44 39 34
43 38 33
47 40 32
39 36 33
39 36 33
42 36 30
40 36 31
45 39 32
43 38 32
40 37 33
41 36 31
48 40 32
40 35 30
48 38 27
49 42 35
51 43 35
45 39 33
50 42 34
47 41 34
52 45 38
53 51 49
62 53 44
58 49 39
Max Avg Min
44 40 36
42 35 27
30 28 26
29 23 15
25 23 19
30 26 22
35 32 30
30 27 20
25 22 17
22 19 17
21 19 18
33 27 20
33 30 18
29 23 17
29 20 15
26 18 12
15 12 10
26 21 19
21 17 14
30 23 17
27 21 17
27 21 12
42 37 32
49 46 42
53 45 29
28 19 14
Max Avg Min
93 - 47
96 - 70
70 - 46
64 - 34
61 - 46
72 - 38
100 - 64
82 - 52
72 - 45
63 - 40
59 - 33
92 - 52
96 - 47
82 - 44
70 - 31
70 - 35
55 - 23
56 - 34
52 - 24
65 - 40
64 - 27
70 - 29
85 - 63
93 - 71
93 - 53
53 - 20
Max Avg Min
13 - 0
21 - 5
25 - 5
22 - 4
16 - 4
15 - 0
22 - 0
14 - 0
17 - 0
17 - 5
13 - 0
17 - 5
16 - 0
20 - 6
17 - 6
20 - 5
17 - 0
14 - 0
12 - 0
20 - 5
21 - 0
10 - 0
12 - 0
9 - 0
15 - 0
16 - 0
Max Avg Min
29.87 - 29.51
29.78 - 29.26
30.11 - 29.79
30.13 - 30.06
30.08 - 30.02
30.06 - 29.95
29.95 - 29.53
29.74 - 29.67
29.86 - 29.69
30.03 - 29.86
30.09 - 30.01
30.09 - 29.76
29.78 - 29.6
29.68 - 29.5
29.62 - 29.5
29.92 - 29.6
29.93 - 29.67
30.07 - 29.95
30.14 - 30.01
30.59 - 30.15
30.71 - 30.6
30.65 - 30.22
30.22 - 29.99
30.07 - 29.81
30.01 - 29.7
30.29 - 30.05
Max Avg Min
- 0.38 -
- 1.86 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.41 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.28 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.03 -
- 0.03 -
- 0.03 -
- 0.00 -
