Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
60 52 43
43 38 33
43 41 39
56 48 40
45 40 34
62 50 37
49 43 37
46 39 32
49 41 32
51 45 38
51 44 37
63 55 46
82 71 60
77 61 44
44 41 38
60 50 39
47 43 39
55 46 37
49 44 38
50 44 37
63 51 39
67 56 44
68 57 46
66 56 46
60 56 52
70 63 55
59 55 51
68 59 50
59 54 49
51 48 44
Max Avg Min
38 28 15
32 29 16
40 36 31
51 40 18
21 13 9
41 31 15
36 21 10
17 14 10
30 17 11
34 28 18
32 22 12
42 35 28
48 43 40
50 47 40
37 34 30
57 42 36
35 30 24
31 26 23
39 34 22
24 23 21
25 22 17
29 19 12
39 30 20
51 40 32
59 55 50
56 49 38
50 47 40
52 49 47
51 40 31
40 33 23
Max Avg Min
51 - 28
96 - 33
93 - 70
100 - 28
48 - 22
92 - 29
70 - 23
51 - 25
65 - 24
79 - 31
58 - 24
64 - 36
49 - 22
83 - 38
92 - 62
96 - 65
70 - 45
64 - 35
82 - 43
59 - 33
54 - 19
41 - 13
63 - 18
86 - 34
100 - 86
100 - 34
96 - 47
93 - 52
96 - 40
71 - 36
Max Avg Min
14 - 4
16 - 0
12 - 0
22 - 0
20 - 4
15 - 0
16 - 4
18 - 4
14 - 0
12 - 0
13 - 0
15 - 0
18 - 0
21 - 0
22 - 7
28 - 4
17 - 5
18 - 0
18 - 0
20 - 0
15 - 0
13 - 0
15 - 0
15 - 0
12 - 0
15 - 0
10 - 0
14 - 0
12 - 0
16 - 0
Max Avg Min
30.09 - 29.95
30.19 - 30.06
30.21 - 29.86
29.9 - 29.43
30.12 - 29.86
30.14 - 29.65
29.92 - 29.68
30.05 - 29.85
30.22 - 30.06
30.2 - 30.11
30.21 - 30.06
30.11 - 29.79
29.93 - 29.79
30.2 - 29.84
30.34 - 30.14
30.11 - 29.42
29.74 - 29.6
29.81 - 29.75
30.01 - 29.61
30.37 - 30.02
30.41 - 30.26
30.42 - 30.32
30.49 - 30.4
30.42 - 30.15
30.16 - 29.64
29.87 - 29.59
29.88 - 29.74
29.88 - 29.75
30.03 - 29.85
30.05 - 29.99
Max Avg Min
- 0.00 -
- 0.59 -
- 0.26 -
- 0.04 -
- 0.00 -
- 0.11 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.47 -
- 2.82 -
- 0.00 -
- 0.00 -
- 0.15 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.95 -
- 0.10 -
- 0.05 -
- 0.10 -
- 0.08 -
- 0.00 -
