,total_rides,max_temp,max_dew_pt,max_hum,max_wind,max_pres,precip,is_sat,is_holi,temp_var,dew_pt_var,hum_var,wind_var,pres_var
2001-07-01 00:00:00,706369,78,68,84,21,30.27,0.0,0,1,-23,-25,-33,-15,-0.35999999999999943
2001-07-02 00:00:00,1586646,78,49,77,12,30.31,0.0,0,0,-27,-14,-49,-8,-0.21999999999999886
2001-07-03 00:00:00,1817879,79,68,97,17,30.09,0.07,0,0,-15,-17,-43,-12,-0.129999999999999
2001-07-04 00:00:00,767555,88,68,93,21,29.97,0.0,0,1,-20,-16,-62,-21,-0.07000000000000028
2001-07-05 00:00:00,1525074,73,53,80,17,30.11,0.0,0,0,-18,-6,-38,-12,-0.17999999999999972
2001-07-06 00:00:00,1601976,81,67,83,12,30.15,0.0,0,0,-29,-25,-45,-12,-0.16999999999999815
2001-07-07 00:00:00,946546,86,79,97,16,29.96,0.17,1,0,-24,-29,-48,-11,-0.22000000000000242
2001-07-08 00:00:00,695721,89,75,100,9,29.93,0.0,0,1,-19,-17,-63,-5,-0.120000000000001
2001-07-09 00:00:00,1533175,91,74,100,12,29.9,0.0,0,0,-23,-17,-64,-12,-0.04999999999999716
2001-07-10 00:00:00,1547135,93,69,87,18,29.92,0.0,0,0,-24,-16,-58,-14,-0.14000000000000057
2001-07-11 00:00:00,1575069,78,54,72,14,30.04,0.0,0,0,-16,-5,-31,-14,-0.09999999999999787
2001-07-12 00:00:00,1585787,80,56,83,14,30.09,0.0,0,0,-19,-8,-48,-14,-0.0799999999999983
2001-07-13 00:00:00,1598341,79,57,83,14,30.17,0.0,0,0,-20,-16,-56,-14,-0.09000000000000341
2001-07-14 00:00:00,963025,87,54,61,14,30.08,0.0,1,0,-24,-8,-34,-14,-0.08999999999999986
2001-07-15 00:00:00,661964,88,61,81,9,30.05,0.0,0,1,-26,-10,-49,-9,-0.08999999999999986
2001-07-16 00:00:00,1503906,86,64,90,13,30.04,0.0,0,0,-22,-8,-53,-13,-0.09999999999999787
2001-07-17 00:00:00,1546190,86,75,100,15,30.01,0.45,0,0,-15,-13,-40,-15,-0.11000000000000298
2001-07-18 00:00:00,1548192,84,75,100,14,29.99,0.04,0,0,-11,-7,-37,-14,-0.0799999999999983
2001-07-19 00:00:00,1568142,88,74,100,15,30.05,0.0,0,0,-20,-6,-37,-15,-0.10000000000000142
2001-07-20 00:00:00,1548559,93,76,100,13,30.03,0.0,0,0,-22,-8,-53,-13,-0.10999999999999943
2001-07-21 00:00:00,899002,93,76,94,14,29.93,0.0,1,0,-20,-6,-42,-14,-0.120000000000001
2001-07-22 00:00:00,580239,95,78,100,14,29.95,0.59,0,1,-27,-12,-50,-14,-0.129999999999999
2001-07-23 00:00:00,1429003,91,79,97,22,29.87,0.09,0,0,-18,-9,-32,-22,-0.060000000000002274
2001-07-24 00:00:00,1569886,90,75,100,12,29.92,0.01,0,0,-20,-6,-47,-12,-0.08000000000000185
