,Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
0,2001-01-01,23,14,6,14,10,3,92,-,65,13,-,4,30.55,-,30.38,-,0.0,-
1,2001-01-02,18,12,6,11,6,3,92,-,71,15,-,4,30.67,-,30.39,-,0.0,-
2,2001-01-03,28,18,8,25,17,1,95,-,73,17,-,6,30.34,-,30.02,-,0.0,-
3,2001-01-04,30,24,19,25,21,17,96,-,81,20,-,4,30.13,-,29.54,-,0.0,-
4,2001-01-05,36,30,21,28,24,14,82,-,64,21,-,6,29.88,-,29.52,-,0.02,-
5,2001-01-06,33,26,19,25,19,14,96,-,59,16,-,0,29.88,-,29.63,-,0.0,-
6,2001-01-07,34,28,21,29,23,15,89,-,64,16,-,5,30.02,-,29.7,-,0.0,-
7,2001-01-08,26,20,14,17,13,7,84,-,63,14,-,8,30.24,-,30.02,-,0.0,-
8,2001-01-09,23,16,10,15,11,7,87,-,71,17,-,5,30.35,-,30.2,-,0.0,-
9,2001-01-10,34,26,19,24,19,13,81,-,61,14,-,5,30.21,-,30.09,-,0.0,-
10,2001-01-11,39,28,18,29,24,16,92,-,65,9,-,0,30.14,-,30.07,-,0.0,-
11,2001-01-12,37,31,25,31,29,24,96,-,78,8,-,0,30.26,-,30.13,-,0.0,-
12,2001-01-13,35,34,33,32,31,30,96,-,85,16,-,4,30.24,-,30.04,-,0.0,-
13,2001-01-14,36,34,32,36,34,28,100,-,81,13,-,6,30.01,-,29.83,-,0.0,-
14,2001-01-15,35,32,30,34,32,26,100,-,81,17,-,8,30.06,-,29.85,-,0.0,-
15,2001-01-16,30,28,26,27,25,22,96,-,82,15,-,7,30.3,-,30.06,-,0.0,-
16,2001-01-17,26,22,19,22,19,16,91,-,71,12,-,4,30.33,-,30.16,-,0.0,-
17,2001-01-18,30,24,19,25,21,16,92,-,72,15,-,5,30.14,-,29.94,-,0.0,-
18,2001-01-19,27,22,17,23,18,12,88,-,72,22,-,7,30.26,-,29.98,-,0.0,-
19,2001-01-20,24,18,10,11,10,6,81,-,57,12,-,5,30.28,-,30.22,-,0.0,-
20,2001-01-21,25,18,10,14,11,4,88,-,60,9,-,4,30.41,-,30.25,-,0.0,-
21,2001-01-22,28,18,7,25,15,5,92,-,63,10,-,0,30.44,-,30.24,-,0.0,-
22,2001-01-23,34,28,21,25,23,18,92,-,70,12,-,5,30.22,-,30.09,-,0.0,-
23,2001-01-24,27,22,17,21,17,11,88,-,66,18,-,6,30.4,-,30.07,-,0.0,-
24,2001-01-25,25,20,14,15,11,8,81,-,57,12,-,6,30.49,-,30.21,-,0.0,-
25,2001-01-26,30,26,21,28,24,15,93,-,69,20,-,6,30.19,-,29.7,-,0.02,-
26,2001-01-27,26,20,15,20,12,8,78,-,66,21,-,6,30.33,-,30.03,-,0.0,-
27,2001-01-28,28,21,14,27,17,7,93,-,65,9,-,0,30.32,-,30.19,-,0.0,-
28,2001-01-29,42,35,28,41,33,28,100,-,81,20,-,7,30.17,-,29.39,-,0.3,-
29,2001-01-30,37,34,32,37,34,31,100,-,92,13,-,0,29.53,-,29.27,-,0.14,-
30,2001-01-31,34,31,27,32,29,22,96,-,79,17,-,6,29.99,-,29.55,-,0.0,-
31,2001-02-01,30,18,3,21,16,-3,92,-,57,17,-,5,30.21,-,30.01,-,0.0,-
32,2001-02-02,12,6,0,3,-2,-8,76,-,61,18,-,5,30.35,-,30.22,-,0.0,-
33,2001-02-03,30,19,10,27,19,5,96,-,69,13,-,6,30.28,-,29.96,-,0.0,-
34,2001-02-04,34,30,27,31,29,24,100,-,81,12,-,0,30.0,-,29.89,-,0.03,-
35,2001-02-05,32,29,26,31,25,22,96,-,78,14,-,7,30.02,-,29.86,-,0.0,-
36,2001-02-06,35,29,19,32,26,19,96,-,61,10,-,0,30.23,-,29.83,-,0.0,-
