trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_18331_b_195_tn_0,09:00:00,09:00:00,801640,1, WalMart on Maple Leaf,0,0,0,1,,,,,1,1,,,,
t_18331_b_195_tn_0,09:03:00,09:03:00,801525,2,,0,0,933.629121980067,1,,,,,1,1,,,,
t_18331_b_195_tn_0,09:03:33,09:03:33,801964,3,,0,0,1268.71152993193,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:04:46,09:04:46,801865,4,,0,0,1992.17838970805,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:05:14,09:05:14,801864,5,,0,0,2270.13293216849,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:06:21,09:06:21,801863,6,,0,0,2933.97437684036,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:07:00,09:07:00,801866,7,,0,0,3310.4134272439,1,,,,,1,1,,,,
t_18331_b_195_tn_0,09:07:35,09:07:35,801965,8,,0,0,3562.15946492621,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:09:07,09:09:07,801966,9,,0,0,4229.89562669144,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:10:00,09:10:00,801777,10,,0,0,4604.22451933092,1,,,,,1,1,,,,
t_18331_b_195_tn_0,09:12:49,09:12:49,801796,11,,0,0,6215.39134822652,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:13:24,09:13:24,801797,12,,0,0,6549.95583461289,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:14:52,09:14:52,801718,13,,0,0,7396.29228679403,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:15:51,09:15:51,801967,14,,0,0,7958.97532667173,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:18:00,09:18:00,801968,15, Jackson & 32nd,0,0,9182.97885685117,1,,,,,1,1,,,,
t_18331_b_195_tn_0,09:19:48,09:19:48,801969,16,,0,0,10088.9338835546,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:21:24,09:21:24,801970,17,,0,0,10887.8959792382,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:22:05,09:22:05,801871,18,,0,0,11236.3854746897,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:23:00,09:23:00,801924,19,,0,0,11689.6667087064,1,,,,,1,1,,,,
t_18331_b_195_tn_0,09:23:27,09:23:27,801917,20,,0,0,11934.7537580829,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:24:19,09:24:19,801971,21,,0,0,12411.9714284456,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:24:56,09:24:56,801918,22,,0,0,12742.350639947,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:25:42,09:25:42,801919,23,,0,0,13154.9327668432,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:26:23,09:26:23,801920,24,,0,0,13531.8788711305,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:27:33,09:27:33,801963,25,,0,0,14162.8799157375,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:28:29,09:28:29,801921,26,,0,0,14670.2476958215,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:29:07,09:29:07,801701,27,,0,0,15013.9342155974,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:29:51,09:29:51,801700,28,,0,0,15407.2166434669,0,,,,,1,1,,,,
t_18331_b_195_tn_0,09:31:00,09:31:00,801678,29,,0,0,16027.0595031649,1,,,,,1,1,,,,
t_18331_b_195_tn_0,09:31:57,09:31:57,801545,30,,0,0,16358.1047221788,0,,,,,1,1,,,,
