timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,801640,1,Albany Amtrak Station,"1/Early Morning, 2/Regular Service (East), 3/Regular Service (West)"
1,801744,2,Tom's Garden Center (Across from Old Park & Ride),"1/Early Morning, 3/Regular Service (West)"
1,801822,3,North Albany & Jones,"1/Early Morning, 3/Regular Service (West)"
1,801717,4,Gibson Hill & Gibson Way,"1/Early Morning, 3/Regular Service (West)"
1,801820,5,North Albany Fire Station,"1/Early Morning, 3/Regular Service (West)"
1,805273,6,North Albany Elementary & Middle School,"1/Early Morning, 3/Regular Service (West)"
1,801821,7,North Albany & Jones,"1/Early Morning, 3/Regular Service (West)"
1,805272,8,North Albany Park & Ride,"1/Early Morning, 3/Regular Service (West)"
1,801525,9,2nd & Baker,"1/Early Morning, 2/Regular Service (East)"
1,801964,10,2nd & Jefferson St,"1/Early Morning, 2/Regular Service (East)"
1,801865,11,Salem & Sherman,"1/Early Morning, 2/Regular Service (East)"
1,801864,12,Salem & Mason,"1/Early Morning, 2/Regular Service (East)"
1,801863,13,Salem & Columbus,"1/Early Morning, 2/Regular Service (East)"
1,801866,14,Salem & Waverly,"1/Early Morning, 2/Regular Service (East)"
1,801922,15,Waverly & Pacific,1/Early Morning
1,801924,16,Waverly at Fred Meyer,"1/Early Morning, 2/Regular Service (East)"
1,801917,17,Waverly & 14th,"1/Early Morning, 2/Regular Service (East)"
1,801971,18,Waverly Dr & 18th,"1/Early Morning, 2/Regular Service (East)"
1,801918,19,Waverly & 21st,"1/Early Morning, 2/Regular Service (East)"
1,801919,20,Waverly & 25th,"1/Early Morning, 2/Regular Service (East)"
1,801920,21,Waverly & Grand Prairie,"1/Early Morning, 2/Regular Service (East)"
1,801545,22,34th & Chicago St.,"1/Early Morning, 2/Regular Service (East)"
1,801548,23,34th & Oak,"1/Early Morning, 2/Regular Service (East)"
1,801546,24,34th & Hill,1/Early Morning
1,801765,25,Hill & 28th,1/Early Morning
1,801764,26,Hill & 24th,"1/Early Morning, 2/Regular Service (East)"
1,801763,27,Hill & 18th,"1/Early Morning, 2/Regular Service (East)"
1,801762,28,Hill & 12th at Boys & Girls Club,"1/Early Morning, 2/Regular Service (East)"
1,2440150,29,1st & Washington (Temporary Stop),"1/Early Morning, 3/Regular Service (West), /Linn-Benton Loop"
1,801915,30,Washington & 3rd,"1/Early Morning, 3/Regular Service (West)"
1,801605,31,7th & Washington,"1/Early Morning, 3/Regular Service (West)"
1,801604,32,7th & Elm at Albany General Hospital,"1/Early Morning, 3/Regular Service (West)"
1,801709,33,Elm & 11th,"1/Early Morning, 3/Regular Service (West)"
1,801710,34,Elm & Queen Ave,"1/Early Morning, 3/Regular Service (West)"
1,801711,35,Elm & 24th,"1/Early Morning, 3/Regular Service (West)"
1,801832,36,Elm & 29th,"1/Early Morning, 3/Regular Service (West)"
1,801833,37,35th & Pacific,"1/Early Morning, 3/Regular Service (West)"
1,801834,38,Pacific & 53rd,"1/Early Morning, 3/Regular Service (West)"
1,801835,39,Pacific & Ellingson,"1/Early Morning, 3/Regular Service (West)"
1,801798,40,LBCC (Linn Benton Community College),"1/Early Morning, 3/Regular Service (West)"
1,801828,41,Pacific & Ellingson,"1/Early Morning, 3/Regular Service (West)"
1,801827,42,College Park,"1/Early Morning, 3/Regular Service (West)"
1,801826,43,YMCA on Pacific Blvd,"1/Early Morning, 3/Regular Service (West)"
1,801825,44,Pacific Blvd & 29th,"1/Early Morning, 3/Regular Service (West)"
1,801829,45,Pacific & Walnut,"1/Early Morning, 3/Regular Service (West)"
1,801824,46,Taco Bell on Pacific Blvd before Albany Station,"1/Early Morning, 3/Regular Service (West)"
1,801640,47,Albany Amtrak Station,"1/Early Morning, 2/Regular Service (East), 3/Regular Service (West)"
2,2440150,1,1st & Washington (Temporary Stop),"1/Early Morning, 3/Regular Service (West), /Linn-Benton Loop"
2,802035,2,North Albany Park & Ride,/Linn-Benton Loop
2,802038,3,Davis Family Farm/Children's Farm Home (Flag Stop),/Linn-Benton Loop
2,802254,4,Circle & Belvue,/Linn-Benton Loop
2,802221,5,9th & Circle Blvd (Rite-Aid),/Linn-Benton Loop
2,802010,6,9th & Fremont Ave (Avery Square),/Linn-Benton Loop
2,802054,7,Corvallis Transit Center (5th & Monroe),/Linn-Benton Loop
2,802039,8,Peoria Market/Wolcott (Flag Stop),/Linn-Benton Loop
2,802052,9,Pacific Blvd & Wilco (Flag Stop),/Linn-Benton Loop
2,802048,10,LBCC (Linn Benton Community College),/Linn-Benton Loop
2,802056,11,College Park (Flag Stop),/Linn-Benton Loop
2,802063,12,YMCA on Pacific Blvd & 34th (Flag Stop),/Linn-Benton Loop
2,802064,13,Pacific Blvd & 29th (Flag Stop),/Linn-Benton Loop
2,802018,14,Albany Amtrak Station,/Linn-Benton Loop
2,802021,15,Clay at Heritage Mall,/Linn-Benton Loop
2,801991,16,14th at Heritage Mall,/Linn-Benton Loop
2,802058,17,Goodwill on Pacific Blvd & Cleveland (Flag Stop),/Linn-Benton Loop
2,2440150,18,1st & Washington (Temporary Stop),"1/Early Morning, 3/Regular Service (West), /Linn-Benton Loop"
3,2440150,1,1st & Washington (Temporary Stop),"1/Early Morning, 3/Regular Service (West), /Linn-Benton Loop"
3,802035,2,North Albany Park & Ride,/Linn-Benton Loop
3,802038,3,Davis Family Farm/Children's Farm Home (Flag Stop),/Linn-Benton Loop
3,802254,4,Circle & Belvue,/Linn-Benton Loop
3,802221,5,9th & Circle Blvd (Rite-Aid),/Linn-Benton Loop
3,802010,6,9th & Fremont Ave (Avery Square),/Linn-Benton Loop
3,802054,7,Corvallis Transit Center (5th & Monroe),/Linn-Benton Loop
3,802039,8,Peoria Market/Wolcott (Flag Stop),/Linn-Benton Loop
