route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
3099,c_1619_b_195_d_31,t_18337_b_195_tn_0,,Albany Amtrak Station,,3137,p_177916,,,,,,,,,,
3099,c_1619_b_195_d_31,t_18334_b_195_tn_0,,Albany Amtrak Station,,3137,p_177916,,,,,,,,,,
3100,c_1619_b_195_d_31,t_45264_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3100,c_1619_b_195_d_31,t_33722_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3100,c_1619_b_195_d_31,t_42592_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3100,c_1619_b_195_d_31,t_18336_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3100,c_1619_b_195_d_31,t_32192_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3100,c_1619_b_195_d_31,t_63194_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3100,c_1619_b_195_d_31,t_54470_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3100,c_1619_b_195_d_31,t_43508_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3100,c_1619_b_195_d_31,t_18331_b_195_tn_0,,Albany Amtrak Station,,3138,p_6329,,,,,,,,,,
3101,c_1619_b_195_d_31,t_18335_b_195_tn_0,,Albany Amtrak Station,,3137,p_177915,,,,,,,,,,
3101,c_1619_b_195_d_31,t_18333_b_195_tn_2,,Albany Amtrak Station,,3137,p_177914,,,,,,,,,,
3101,c_1619_b_195_d_31,t_18333_b_195_tn_1,,Albany Amtrak Station,,3137,p_177914,,,,,,,,,,
3101,c_1619_b_195_d_31,t_69208_b_195_tn_4,,Albany Amtrak Station,,3137,p_177914,,,,,,,,,,
3101,c_1619_b_195_d_31,t_69208_b_195_tn_3,,Albany Amtrak Station,,3137,p_177914,,,,,,,,,,
3101,c_1619_b_195_d_31,t_69208_b_195_tn_2,,Albany Amtrak Station,,3137,p_177914,,,,,,,,,,
3101,c_1619_b_195_d_31,t_69208_b_195_tn_1,,Albany Amtrak Station,,3137,p_177914,,,,,,,,,,
3101,c_1619_b_195_d_31,t_66267_b_195_tn_2,,Albany Amtrak Station,,3137,p_177914,,,,,,,,,,
3101,c_1619_b_195_d_31,t_66267_b_195_tn_1,,Albany Amtrak Station,,3137,p_177914,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18342_b_590_tn_0,,,,3139,p_177919,,,,,,,,,,
3104,c_1622_b_590_d_31,t_67993_b_590_tn_0,,,,3139,p_6341,,,,,,,,,,
3104,c_1622_b_590_d_31,t_67217_b_590_tn_0,,,,3139,p_6341,,,,,,,,,,
3104,c_1622_b_590_d_31,t_58969_b_590_tn_0,,,,3139,p_6341,,,,,,,,,,
3104,c_1622_b_590_d_31,t_47665_b_590_tn_0,,,,3139,p_177919,,,,,,,,,,
3104,c_1622_b_590_d_31,t_28923_b_590_tn_0,,,,3139,p_6341,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18354_b_590_tn_0,,,,3139,p_6340,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18353_b_590_tn_0,,Express,,3140,p_6344,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18352_b_590_tn_0,,,,3139,p_177923,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18350_b_590_tn_0,,,,3139,p_6341,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18348_b_590_tn_0,,,,3139,p_6339,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18345_b_590_tn_0,,Express,,3140,p_6344,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18344_b_590_tn_0,,Express,,3140,p_6343,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18343_b_590_tn_0,,,,3139,p_6340,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18339_b_590_tn_0,,Express,,3140,p_6343,,,,,,,,,,
3104,c_1622_b_590_d_31,t_18338_b_590_tn_0,,,,3139,p_177922,,,,,,,,,,
3104,c_1622_b_590_d_32,t_66572_b_590_tn_0,,,,3139,p_177917,,,,,,,,,,
3104,c_1622_b_590_d_32,t_18340_b_590_tn_0,,,,3139,p_177917,,,,,,,,,,
3104,c_1622_b_590_d_32,t_18341_b_590_tn_0,,,,3139,p_177917,,,,,,,,,,
3104,c_1622_b_590_d_32,t_18346_b_590_tn_0,,,,3139,p_177920,,,,,,,,,,
3104,c_1622_b_590_d_32,t_18347_b_590_tn_0,,,,3139,p_177917,,,,,,,,,,
3104,c_1622_b_590_d_32,t_18349_b_590_tn_0,,,,3139,p_177921,,,,,,,,,,
3104,c_1622_b_590_d_32,t_18351_b_590_tn_0,,,,3139,p_177921,,,,,,,,,,
3104,c_1622_b_590_d_32,t_50837_b_590_tn_0,,,,3139,p_177917,,,,,,,,,,
3104,c_1622_b_590_d_32,t_58568_b_590_tn_0,,,,3139,p_177917,,,,,,,,,,
