Jul Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,78.0,66.0,55.0,68.0,53.0,43.0,84.0,nan,51.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,78.0,62.0,51.0,49.0,42.0,35.0,77.0,nan,28.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,79.0,72.0,64.0,68.0,63.0,51.0,97.0,nan,54.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,88.0,78.0,68.0,68.0,60.0,52.0,93.0,nan,31.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,73.0,65.0,55.0,53.0,49.0,47.0,80.0,nan,42.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,81.0,66.0,52.0,67.0,50.0,42.0,83.0,nan,38.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,86.0,73.0,62.0,79.0,70.0,50.0,97.0,nan,49.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
8,89.0,78.0,70.0,75.0,63.0,58.0,100.0,nan,37.0,9.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,91.0,78.0,68.0,74.0,68.0,57.0,100.0,nan,36.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,93.0,80.0,69.0,69.0,61.0,53.0,87.0,nan,29.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,78.0,69.0,62.0,54.0,52.0,49.0,72.0,nan,41.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,80.0,70.0,61.0,56.0,53.0,48.0,83.0,nan,35.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,79.0,68.0,59.0,57.0,51.0,41.0,83.0,nan,27.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,87.0,75.0,63.0,54.0,50.0,46.0,61.0,nan,27.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,88.0,74.0,62.0,61.0,57.0,51.0,81.0,nan,32.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,86.0,74.0,64.0,64.0,60.0,56.0,90.0,nan,37.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,86.0,78.0,71.0,75.0,70.0,62.0,100.0,nan,60.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,84.0,78.0,73.0,75.0,73.0,68.0,100.0,nan,63.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,88.0,78.0,68.0,74.0,73.0,68.0,100.0,nan,63.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,93.0,81.0,71.0,76.0,72.0,68.0,100.0,nan,47.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,93.0,83.0,73.0,76.0,73.0,70.0,94.0,nan,52.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,95.0,80.0,68.0,78.0,72.0,66.0,100.0,nan,50.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,91.0,82.0,73.0,79.0,75.0,70.0,97.0,nan,65.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,90.0,80.0,70.0,75.0,72.0,69.0,100.0,nan,53.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,75.0,70.0,66.0,72.0,68.0,62.0,100.0,nan,78.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,78.0,73.0,69.0,68.0,64.0,57.0,94.0,nan,50.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
27,78.0,70.0,64.0,64.0,58.0,55.0,84.0,nan,47.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,78.0,71.0,64.0,72.0,66.0,55.0,100.0,nan,63.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,90.0,76.0,64.0,74.0,71.0,64.0,100.0,nan,43.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,90.0,80.0,70.0,73.0,67.0,28.0,100.0,nan,20.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,93.0,82.0,71.0,76.0,73.0,68.0,97.0,nan,43.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
