May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,63.0,52.0,43.0,44.0,36.0,29.0,97.0,nan,35.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,53.0,48.0,44.0,45.0,37.0,25.0,100.0,nan,35.0,23.0,nan,7.0,nan,nan,nan,nan,nan,nan
3,53.0,46.0,39.0,35.0,27.0,17.0,76.0,nan,33.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,69.0,51.0,34.0,41.0,34.0,27.0,92.0,nan,28.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,69.0,58.0,48.0,51.0,44.0,40.0,86.0,nan,48.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,75.0,68.0,60.0,63.0,60.0,51.0,100.0,nan,57.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,68.0,56.0,44.0,63.0,46.0,37.0,100.0,nan,59.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
8,64.0,54.0,44.0,63.0,53.0,41.0,100.0,nan,77.0,23.0,nan,8.0,nan,nan,nan,nan,nan,nan
9,68.0,60.0,50.0,67.0,48.0,27.0,100.0,nan,34.0,30.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,66.0,56.0,45.0,33.0,28.0,23.0,60.0,nan,20.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,57.0,50.0,44.0,46.0,40.0,28.0,100.0,nan,34.0,22.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,50.0,47.0,44.0,50.0,47.0,42.0,100.0,nan,89.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,55.0,50.0,44.0,44.0,41.0,39.0,93.0,nan,55.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,64.0,54.0,44.0,44.0,42.0,39.0,93.0,nan,44.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,75.0,58.0,42.0,53.0,48.0,42.0,100.0,nan,41.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,66.0,54.0,43.0,61.0,53.0,35.0,100.0,nan,70.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,45.0,40.0,37.0,35.0,33.0,30.0,83.0,nan,65.0,21.0,nan,9.0,nan,nan,nan,nan,nan,nan
18,54.0,44.0,35.0,35.0,32.0,27.0,92.0,nan,38.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
19,54.0,45.0,37.0,40.0,36.0,32.0,86.0,nan,50.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,48.0,44.0,37.0,33.0,30.0,25.0,73.0,nan,42.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,57.0,45.0,33.0,33.0,30.0,26.0,92.0,nan,32.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,68.0,54.0,41.0,41.0,37.0,34.0,76.0,nan,33.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
23,72.0,64.0,57.0,61.0,52.0,41.0,87.0,nan,55.0,22.0,nan,9.0,nan,nan,nan,nan,nan,nan
24,64.0,54.0,43.0,63.0,43.0,31.0,100.0,nan,54.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
25,57.0,50.0,43.0,56.0,46.0,37.0,100.0,nan,76.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,73.0,56.0,39.0,51.0,45.0,40.0,100.0,nan,34.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,78.0,63.0,48.0,55.0,51.0,44.0,93.0,nan,40.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,78.0,68.0,59.0,62.0,57.0,50.0,90.0,nan,58.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,82.0,72.0,63.0,64.0,62.0,60.0,97.0,nan,47.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,84.0,74.0,64.0,66.0,64.0,62.0,93.0,nan,46.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
31,86.0,77.0,69.0,65.0,57.0,46.0,81.0,nan,32.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
