Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,33.0,30.0,28.0,25.0,22.0,16.0,79.0,nan,61.0,23.0,nan,7.0,nan,nan,nan,nan,nan,nan
2,30.0,29.0,28.0,27.0,25.0,20.0,93.0,nan,69.0,16.0,nan,7.0,nan,nan,nan,nan,nan,nan
3,34.0,28.0,21.0,25.0,21.0,18.0,93.0,nan,56.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,33.0,26.0,19.0,28.0,23.0,16.0,100.0,nan,59.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,32.0,31.0,30.0,31.0,30.0,28.0,100.0,nan,92.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,33.0,30.0,26.0,31.0,22.0,15.0,93.0,nan,52.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
7,46.0,36.0,26.0,32.0,28.0,21.0,85.0,nan,58.0,23.0,nan,10.0,nan,nan,nan,nan,nan,nan
8,54.0,46.0,37.0,35.0,30.0,21.0,79.0,nan,37.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
9,43.0,36.0,28.0,28.0,24.0,16.0,85.0,nan,42.0,23.0,nan,9.0,nan,nan,nan,nan,nan,nan
10,27.0,20.0,12.0,18.0,11.0,3.0,93.0,nan,46.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
11,19.0,14.0,8.0,5.0,2.0,-1.0,67.0,nan,44.0,17.0,nan,9.0,nan,nan,nan,nan,nan,nan
12,30.0,20.0,10.0,16.0,8.0,4.0,84.0,nan,35.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,30.0,24.0,17.0,18.0,6.0,-2.0,86.0,nan,35.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
14,18.0,14.0,8.0,14.0,7.0,-2.0,86.0,nan,56.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
15,21.0,13.0,5.0,6.0,1.0,-3.0,73.0,nan,42.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,27.0,22.0,16.0,7.0,4.0,-1.0,68.0,nan,34.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,23.0,16.0,10.0,4.0,2.0,-1.0,70.0,nan,44.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
18,21.0,14.0,7.0,16.0,6.0,-1.0,85.0,nan,66.0,16.0,nan,7.0,nan,nan,nan,nan,nan,nan
19,28.0,16.0,3.0,20.0,9.0,-1.0,80.0,nan,59.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
20,19.0,16.0,12.0,8.0,-1.0,-5.0,62.0,nan,36.0,15.0,nan,7.0,nan,nan,nan,nan,nan,nan
21,17.0,12.0,7.0,-3.0,-7.0,-11.0,61.0,nan,30.0,16.0,nan,7.0,nan,nan,nan,nan,nan,nan
22,14.0,8.0,3.0,-5.0,-7.0,-10.0,58.0,nan,41.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
23,12.0,5.0,-2.0,-7.0,-11.0,-15.0,60.0,nan,39.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
24,16.0,10.0,3.0,3.0,-4.0,-8.0,66.0,nan,34.0,14.0,nan,6.0,nan,nan,nan,nan,nan,nan
25,33.0,24.0,15.0,25.0,12.0,4.0,93.0,nan,44.0,17.0,nan,8.0,nan,nan,nan,nan,nan,nan
26,15.0,10.0,1.0,7.0,-2.0,-9.0,85.0,nan,45.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,19.0,8.0,-4.0,8.0,0.0,-9.0,87.0,nan,54.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,30.0,26.0,21.0,28.0,22.0,9.0,100.0,nan,60.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,27.0,22.0,16.0,25.0,18.0,13.0,93.0,nan,65.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,32.0,24.0,19.0,27.0,20.0,16.0,93.0,nan,72.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,35.0,34.0,32.0,34.0,31.0,26.0,100.0,nan,72.0,14.0,nan,5.0,nan,nan,nan,nan,nan,nan
