Oct Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,53.0,44.0,35.0,35.0,26.0,17.0,85.0,nan,28.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,53.0,42.0,32.0,28.0,22.0,17.0,79.0,nan,25.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,53.0,47.0,41.0,51.0,38.0,22.0,100.0,nan,40.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,57.0,48.0,39.0,40.0,37.0,32.0,97.0,nan,37.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,57.0,47.0,39.0,43.0,40.0,37.0,93.0,nan,57.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,61.0,49.0,37.0,42.0,37.0,27.0,100.0,nan,28.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,80.0,61.0,43.0,54.0,49.0,39.0,100.0,nan,39.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,80.0,64.0,48.0,57.0,53.0,48.0,97.0,nan,38.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,73.0,62.0,51.0,57.0,54.0,51.0,100.0,nan,53.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,77.0,64.0,51.0,62.0,58.0,51.0,100.0,nan,57.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,78.0,67.0,57.0,63.0,60.0,56.0,100.0,nan,56.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,69.0,58.0,46.0,55.0,43.0,34.0,100.0,nan,28.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,73.0,57.0,42.0,49.0,41.0,37.0,85.0,nan,32.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,57.0,54.0,48.0,52.0,49.0,37.0,100.0,nan,64.0,21.0,nan,8.0,nan,nan,nan,nan,nan,nan
15,62.0,50.0,39.0,38.0,36.0,33.0,86.0,nan,35.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,53.0,46.0,37.0,44.0,36.0,29.0,86.0,nan,48.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,57.0,44.0,33.0,36.0,30.0,27.0,92.0,nan,34.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,70.0,56.0,43.0,49.0,41.0,30.0,93.0,nan,46.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,64.0,56.0,48.0,50.0,47.0,45.0,97.0,nan,50.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,84.0,65.0,46.0,58.0,52.0,43.0,93.0,nan,35.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,64.0,55.0,46.0,49.0,45.0,42.0,100.0,nan,48.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,55.0,48.0,41.0,45.0,39.0,34.0,93.0,nan,49.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,53.0,46.0,39.0,43.0,41.0,39.0,100.0,nan,66.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,60.0,48.0,37.0,49.0,42.0,37.0,100.0,nan,51.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,57.0,52.0,46.0,49.0,46.0,34.0,100.0,nan,59.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,84.0,40.0,35.0,36.0,34.0,31.0,92.0,nan,65.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,42.0,37.0,32.0,38.0,32.0,29.0,100.0,nan,62.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,54.0,48.0,41.0,47.0,39.0,31.0,100.0,nan,54.0,23.0,nan,8.0,nan,nan,nan,nan,nan,nan
29,46.0,42.0,39.0,40.0,35.0,31.0,92.0,nan,65.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
30,70.0,54.0,39.0,59.0,49.0,36.0,86.0,nan,61.0,24.0,nan,6.0,nan,nan,nan,nan,nan,nan
31,66.0,58.0,48.0,63.0,53.0,46.0,96.0,nan,60.0,18.0,nan,8.0,nan,nan,nan,nan,nan,nan
