Nov Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,50.0,49.0,48.0,48.0,46.0,42.0,100.0,nan,77.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
2,48.0,47.0,45.0,47.0,42.0,35.0,96.0,nan,66.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
3,52.0,48.0,45.0,42.0,38.0,35.0,83.0,nan,59.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
4,51.0,46.0,41.0,46.0,41.0,26.0,100.0,nan,49.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,54.0,45.0,36.0,31.0,27.0,25.0,67.0,nan,35.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
6,64.0,53.0,42.0,41.0,37.0,32.0,79.0,nan,34.0,14.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,57.0,48.0,37.0,42.0,28.0,15.0,74.0,nan,24.0,20.0,nan,7.0,nan,nan,nan,nan,nan,nan
8,46.0,38.0,30.0,24.0,19.0,15.0,64.0,nan,30.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,53.0,45.0,37.0,28.0,24.0,21.0,60.0,nan,32.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,62.0,55.0,48.0,47.0,38.0,28.0,83.0,nan,46.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,50.0,44.0,37.0,46.0,32.0,24.0,93.0,nan,52.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
12,46.0,38.0,30.0,29.0,27.0,25.0,82.0,nan,46.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,46.0,36.0,27.0,30.0,27.0,24.0,89.0,nan,47.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,48.0,38.0,27.0,33.0,26.0,18.0,88.0,nan,39.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,50.0,40.0,30.0,43.0,33.0,24.0,90.0,nan,50.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,55.0,50.0,46.0,52.0,47.0,43.0,94.0,nan,71.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,63.0,58.0,53.0,58.0,56.0,50.0,100.0,nan,82.0,10.0,nan,6.0,nan,nan,nan,nan,nan,nan
18,61.0,56.0,50.0,58.0,55.0,48.0,96.0,nan,77.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,55.0,52.0,48.0,54.0,52.0,47.0,100.0,nan,93.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,54.0,49.0,44.0,52.0,43.0,33.0,94.0,nan,65.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
21,45.0,38.0,30.0,33.0,29.0,25.0,89.0,nan,51.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,48.0,41.0,36.0,41.0,33.0,27.0,89.0,nan,51.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,51.0,45.0,39.0,45.0,40.0,26.0,96.0,nan,58.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
24,43.0,36.0,30.0,36.0,31.0,22.0,96.0,nan,58.0,26.0,nan,7.0,nan,nan,nan,nan,nan,nan
25,32.0,26.0,21.0,24.0,21.0,17.0,88.0,nan,61.0,10.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,45.0,36.0,28.0,38.0,33.0,24.0,96.0,nan,76.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,46.0,42.0,37.0,45.0,40.0,33.0,93.0,nan,76.0,22.0,nan,7.0,nan,nan,nan,nan,nan,nan
28,43.0,38.0,34.0,32.0,25.0,18.0,81.0,nan,38.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,37.0,35.0,33.0,36.0,33.0,24.0,100.0,nan,62.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,39.0,36.0,32.0,37.0,33.0,30.0,96.0,nan,79.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
