Mar Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,60.0,53.0,45.0,49.0,44.0,35.0,93.0,nan,61.0,23.0,nan,9.0,nan,nan,nan,nan,nan,nan
2,48.0,44.0,39.0,40.0,37.0,33.0,92.0,nan,71.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
3,46.0,42.0,37.0,40.0,34.0,32.0,92.0,nan,61.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,44.0,40.0,37.0,43.0,39.0,37.0,100.0,nan,79.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,60.0,50.0,39.0,58.0,44.0,32.0,100.0,nan,68.0,29.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,45.0,41.0,37.0,33.0,31.0,28.0,83.0,nan,53.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,44.0,39.0,34.0,38.0,29.0,21.0,81.0,nan,55.0,28.0,nan,16.0,nan,nan,nan,nan,nan,nan
8,37.0,34.0,30.0,24.0,21.0,18.0,66.0,nan,45.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
9,37.0,32.0,28.0,28.0,26.0,22.0,92.0,nan,62.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,48.0,36.0,25.0,34.0,25.0,20.0,89.0,nan,41.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,42.0,30.0,18.0,36.0,17.0,4.0,87.0,nan,46.0,28.0,nan,4.0,nan,nan,nan,nan,nan,nan
12,32.0,24.0,15.0,14.0,7.0,1.0,78.0,nan,37.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,46.0,32.0,19.0,33.0,19.0,13.0,85.0,nan,32.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,43.0,38.0,34.0,38.0,29.0,21.0,97.0,nan,45.0,28.0,nan,7.0,nan,nan,nan,nan,nan,nan
15,36.0,32.0,27.0,30.0,23.0,17.0,89.0,nan,50.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
16,33.0,32.0,30.0,30.0,27.0,23.0,96.0,nan,72.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,36.0,32.0,28.0,32.0,28.0,24.0,100.0,nan,76.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,39.0,32.0,24.0,37.0,32.0,24.0,100.0,nan,75.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,52.0,39.0,26.0,35.0,31.0,24.0,96.0,nan,46.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,61.0,46.0,32.0,41.0,29.0,16.0,68.0,nan,21.0,32.0,nan,7.0,nan,nan,nan,nan,nan,nan
21,32.0,28.0,24.0,21.0,16.0,11.0,75.0,nan,44.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
22,39.0,29.0,19.0,15.0,10.0,6.0,81.0,nan,28.0,15.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,60.0,46.0,32.0,41.0,24.0,12.0,77.0,nan,26.0,14.0,nan,6.0,nan,nan,nan,nan,nan,nan
24,62.0,53.0,44.0,50.0,44.0,40.0,93.0,nan,62.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,62.0,60.0,57.0,58.0,53.0,46.0,94.0,nan,65.0,17.0,nan,7.0,nan,nan,nan,nan,nan,nan
26,66.0,56.0,45.0,59.0,56.0,44.0,100.0,nan,70.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,59.0,50.0,41.0,56.0,47.0,39.0,100.0,nan,75.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,73.0,60.0,48.0,59.0,53.0,44.0,94.0,nan,55.0,23.0,nan,6.0,nan,nan,nan,nan,nan,nan
29,60.0,50.0,41.0,43.0,38.0,32.0,93.0,nan,37.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,55.0,47.0,37.0,41.0,37.0,34.0,87.0,nan,51.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,46.0,41.0,36.0,36.0,32.0,26.0,89.0,nan,59.0,23.0,nan,8.0,nan,nan,nan,nan,nan,nan
