Aug Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,93.0,81.0,69.0,68.0,65.0,59.0,90.0,nan,34.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,92.0,79.0,65.0,70.0,66.0,60.0,100.0,nan,36.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,93.0,84.0,74.0,72.0,69.0,67.0,79.0,nan,49.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,88.0,82.0,76.0,71.0,67.0,57.0,69.0,nan,45.0,20.0,nan,8.0,nan,nan,nan,nan,nan,nan
5,84.0,73.0,62.0,62.0,56.0,53.0,78.0,nan,39.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,84.0,72.0,59.0,59.0,56.0,51.0,90.0,nan,34.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,89.0,74.0,58.0,63.0,58.0,51.0,97.0,nan,29.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,93.0,78.0,63.0,60.0,58.0,56.0,78.0,nan,30.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,95.0,80.0,65.0,70.0,63.0,58.0,78.0,nan,30.0,30.0,nan,4.0,nan,nan,nan,nan,nan,nan
10,90.0,79.0,68.0,70.0,66.0,63.0,90.0,nan,41.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,77.0,72.0,67.0,70.0,67.0,64.0,93.0,nan,69.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,85.0,79.0,72.0,72.0,69.0,66.0,93.0,nan,58.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,75.0,72.0,68.0,67.0,62.0,52.0,79.0,nan,53.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,76.0,69.0,61.0,60.0,57.0,55.0,87.0,nan,50.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,82.0,71.0,60.0,65.0,62.0,58.0,97.0,nan,51.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,84.0,74.0,63.0,65.0,62.0,56.0,93.0,nan,40.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,84.0,71.0,58.0,66.0,61.0,57.0,100.0,nan,43.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,84.0,77.0,69.0,73.0,68.0,64.0,90.0,nan,65.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
19,88.0,79.0,69.0,72.0,67.0,64.0,90.0,nan,46.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,86.0,78.0,69.0,72.0,69.0,60.0,100.0,nan,55.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,82.0,74.0,65.0,59.0,55.0,49.0,78.0,nan,35.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
22,73.0,67.0,61.0,56.0,53.0,49.0,78.0,nan,46.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,73.0,66.0,58.0,56.0,53.0,50.0,80.0,nan,47.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
24,76.0,67.0,57.0,61.0,56.0,52.0,86.0,nan,43.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,81.0,72.0,63.0,64.0,58.0,55.0,79.0,nan,45.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,83.0,75.0,66.0,66.0,64.0,62.0,93.0,nan,51.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,84.0,76.0,67.0,68.0,61.0,50.0,90.0,nan,31.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
28,86.0,75.0,64.0,62.0,57.0,54.0,78.0,nan,37.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,85.0,74.0,62.0,64.0,59.0,53.0,93.0,nan,34.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,80.0,71.0,61.0,64.0,61.0,59.0,97.0,nan,54.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,80.0,71.0,62.0,63.0,59.0,52.0,93.0,nan,39.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
