Apr Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,46.0,42.0,39.0,40.0,36.0,32.0,82.0,nan,66.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
2,60.0,50.0,39.0,54.0,46.0,33.0,94.0,nan,72.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,54.0,46.0,39.0,52.0,39.0,22.0,100.0,nan,35.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,55.0,46.0,36.0,28.0,24.0,19.0,70.0,nan,25.0,22.0,nan,8.0,nan,nan,nan,nan,nan,nan
5,57.0,46.0,34.0,24.0,21.0,17.0,59.0,nan,23.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,57.0,49.0,41.0,52.0,37.0,23.0,100.0,nan,37.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
7,55.0,44.0,33.0,52.0,41.0,24.0,100.0,nan,67.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,43.0,36.0,30.0,28.0,25.0,23.0,85.0,nan,55.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,55.0,42.0,28.0,29.0,27.0,24.0,89.0,nan,31.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,71.0,52.0,35.0,35.0,32.0,29.0,79.0,nan,25.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,75.0,62.0,50.0,53.0,40.0,34.0,67.0,nan,28.0,26.0,nan,6.0,nan,nan,nan,nan,nan,nan
12,75.0,68.0,60.0,54.0,49.0,41.0,72.0,nan,34.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
13,80.0,67.0,55.0,55.0,44.0,41.0,67.0,nan,29.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,81.0,72.0,64.0,63.0,58.0,42.0,80.0,nan,40.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,66.0,58.0,48.0,42.0,36.0,30.0,66.0,nan,28.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,62.0,53.0,46.0,52.0,47.0,36.0,93.0,nan,56.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,55.0,50.0,43.0,45.0,36.0,32.0,89.0,nan,42.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
18,66.0,54.0,45.0,40.0,38.0,37.0,76.0,nan,37.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
19,73.0,62.0,52.0,52.0,43.0,37.0,62.0,nan,37.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,75.0,65.0,55.0,54.0,40.0,29.0,90.0,nan,21.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,71.0,58.0,46.0,41.0,37.0,34.0,77.0,nan,27.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,68.0,57.0,48.0,47.0,42.0,37.0,80.0,nan,38.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,72.0,58.0,45.0,45.0,41.0,38.0,86.0,nan,32.0,23.0,nan,4.0,nan,nan,nan,nan,nan,nan
24,73.0,56.0,39.0,44.0,42.0,38.0,96.0,nan,31.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,46.0,42.0,37.0,37.0,29.0,20.0,87.0,nan,41.0,30.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,64.0,47.0,30.0,31.0,26.0,21.0,85.0,nan,22.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,71.0,57.0,39.0,37.0,31.0,27.0,63.0,nan,22.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,68.0,52.0,37.0,38.0,32.0,27.0,79.0,nan,27.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,61.0,56.0,51.0,51.0,39.0,29.0,86.0,nan,36.0,21.0,nan,10.0,nan,nan,nan,nan,nan,nan
30,59.0,55.0,53.0,54.0,52.0,50.0,94.0,nan,80.0,30.0,nan,12.0,nan,nan,nan,nan,nan,nan
