Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,85.0,74.0,62.0,64.0,63.0,61.0,93.0,nan,44.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,81.0,73.0,65.0,67.0,63.0,58.0,100.0,nan,54.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,78.0,70.0,62.0,64.0,60.0,54.0,93.0,nan,53.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,71.0,65.0,58.0,62.0,58.0,51.0,87.0,nan,67.0,23.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,64.0,56.0,47.0,52.0,47.0,41.0,93.0,nan,60.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,71.0,58.0,44.0,55.0,47.0,39.0,100.0,nan,37.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,91.0,81.0,71.0,66.0,63.0,57.0,68.0,nan,41.0,35.0,nan,17.0,nan,nan,nan,nan,nan,nan
8,81.0,69.0,57.0,67.0,55.0,44.0,69.0,nan,35.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,79.0,66.0,52.0,51.0,47.0,41.0,89.0,nan,27.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,81.0,68.0,55.0,53.0,51.0,48.0,80.0,nan,33.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,86.0,72.0,58.0,55.0,52.0,49.0,84.0,nan,30.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,83.0,73.0,62.0,55.0,50.0,45.0,73.0,nan,30.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,87.0,74.0,60.0,57.0,53.0,50.0,72.0,nan,30.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,89.0,77.0,64.0,58.0,55.0,52.0,73.0,nan,31.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,91.0,77.0,63.0,58.0,56.0,52.0,84.0,nan,28.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,93.0,80.0,66.0,63.0,59.0,55.0,73.0,nan,30.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,91.0,81.0,70.0,66.0,64.0,62.0,79.0,nan,41.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,89.0,79.0,69.0,70.0,65.0,61.0,82.0,nan,43.0,36.0,nan,7.0,nan,nan,nan,nan,nan,nan
19,80.0,73.0,65.0,70.0,59.0,47.0,97.0,nan,35.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,84.0,73.0,61.0,55.0,51.0,46.0,67.0,nan,31.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
21,77.0,69.0,61.0,61.0,52.0,40.0,64.0,nan,35.0,18.0,nan,7.0,nan,nan,nan,nan,nan,nan
22,76.0,69.0,61.0,56.0,49.0,40.0,73.0,nan,33.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,67.0,65.0,62.0,61.0,58.0,53.0,90.0,nan,67.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,77.0,70.0,63.0,64.0,62.0,59.0,87.0,nan,64.0,12.0,nan,6.0,nan,nan,nan,nan,nan,nan
25,89.0,77.0,65.0,68.0,66.0,64.0,93.0,nan,46.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,92.0,81.0,70.0,72.0,69.0,68.0,97.0,nan,47.0,32.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,91.0,81.0,71.0,72.0,70.0,64.0,93.0,nan,52.0,26.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,74.0,66.0,58.0,69.0,55.0,50.0,87.0,nan,53.0,18.0,nan,6.0,nan,nan,nan,nan,nan,nan
29,70.0,63.0,56.0,58.0,55.0,49.0,84.0,nan,59.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,79.0,67.0,54.0,56.0,47.0,36.0,93.0,nan,22.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
