Feb Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,30.0,27.0,24.0,25.0,23.0,19.0,92.0,nan,72.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,30.0,28.0,25.0,25.0,23.0,20.0,88.0,nan,78.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,32.0,29.0,25.0,29.0,26.0,21.0,92.0,nan,78.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,44.0,38.0,32.0,43.0,34.0,28.0,100.0,nan,85.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,40.0,36.0,32.0,39.0,32.0,28.0,100.0,nan,82.0,25.0,nan,4.0,nan,nan,nan,nan,nan,nan
6,34.0,30.0,26.0,31.0,29.0,23.0,92.0,nan,85.0,31.0,nan,13.0,nan,nan,nan,nan,nan,nan
7,27.0,26.0,24.0,22.0,20.0,18.0,88.0,nan,74.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,38.0,31.0,23.0,33.0,27.0,21.0,96.0,nan,75.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,36.0,26.0,16.0,32.0,23.0,3.0,89.0,nan,67.0,29.0,nan,9.0,nan,nan,nan,nan,nan,nan
10,16.0,6.0,-4.0,0.0,-13.0,-17.0,65.0,nan,50.0,31.0,nan,9.0,nan,nan,nan,nan,nan,nan
11,15.0,6.0,-3.0,10.0,-3.0,-15.0,80.0,nan,45.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,22.0,18.0,13.0,18.0,14.0,9.0,84.0,nan,73.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,21.0,14.0,7.0,9.0,6.0,2.0,87.0,nan,56.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,34.0,24.0,13.0,27.0,21.0,10.0,81.0,nan,69.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,24.0,17.0,9.0,16.0,4.0,-2.0,77.0,nan,42.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,33.0,19.0,5.0,27.0,11.0,0.0,76.0,nan,42.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,47.0,39.0,30.0,43.0,35.0,24.0,100.0,nan,72.0,31.0,nan,6.0,nan,nan,nan,nan,nan,nan
18,32.0,20.0,7.0,27.0,10.0,-2.0,78.0,nan,61.0,26.0,nan,9.0,nan,nan,nan,nan,nan,nan
19,14.0,9.0,4.0,5.0,0.0,-4.0,79.0,nan,58.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
20,19.0,12.0,5.0,5.0,0.0,-4.0,80.0,nan,42.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
21,23.0,16.0,8.0,14.0,6.0,-2.0,74.0,nan,45.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,27.0,24.0,21.0,21.0,17.0,14.0,81.0,nan,68.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,33.0,26.0,19.0,17.0,14.0,11.0,74.0,nan,43.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,36.0,27.0,17.0,27.0,21.0,14.0,92.0,nan,56.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,34.0,33.0,31.0,31.0,30.0,28.0,92.0,nan,85.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,32.0,26.0,20.0,30.0,20.0,9.0,92.0,nan,50.0,28.0,nan,8.0,nan,nan,nan,nan,nan,nan
27,23.0,19.0,15.0,11.0,8.0,6.0,74.0,nan,50.0,20.0,nan,6.0,nan,nan,nan,nan,nan,nan
28,26.0,17.0,8.0,20.0,10.0,3.0,84.0,nan,45.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,38.0,31.0,23.0,31.0,25.0,19.0,92.0,nan,56.0,33.0,nan,8.0,nan,nan,nan,nan,nan,nan
