Dec Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,48.0,37.0,25.0,32.0,26.0,21.0,89.0,nan,39.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
2,43.0,37.0,31.0,32.0,30.0,27.0,96.0,nan,57.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,50.0,44.0,37.0,43.0,39.0,32.0,89.0,nan,61.0,30.0,nan,5.0,nan,nan,nan,nan,nan,nan
4,52.0,44.0,36.0,48.0,39.0,29.0,89.0,nan,70.0,28.0,nan,5.0,nan,nan,nan,nan,nan,nan
5,40.0,38.0,35.0,36.0,32.0,28.0,85.0,nan,70.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,37.0,32.0,27.0,30.0,24.0,18.0,75.0,nan,58.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
7,34.0,30.0,25.0,22.0,19.0,14.0,81.0,nan,43.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,36.0,30.0,24.0,25.0,22.0,19.0,81.0,nan,59.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
9,32.0,25.0,18.0,27.0,16.0,6.0,85.0,nan,42.0,16.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,27.0,20.0,12.0,17.0,7.0,2.0,70.0,nan,38.0,14.0,nan,6.0,nan,nan,nan,nan,nan,nan
11,45.0,36.0,27.0,28.0,23.0,17.0,75.0,nan,53.0,21.0,nan,8.0,nan,nan,nan,nan,nan,nan
12,47.0,35.0,23.0,26.0,24.0,19.0,88.0,nan,45.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,45.0,42.0,38.0,40.0,33.0,26.0,93.0,nan,58.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,55.0,48.0,41.0,53.0,45.0,39.0,96.0,nan,89.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,57.0,45.0,33.0,54.0,37.0,19.0,93.0,nan,59.0,30.0,nan,12.0,nan,nan,nan,nan,nan,nan
16,34.0,30.0,26.0,22.0,19.0,17.0,75.0,nan,56.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,32.0,30.0,28.0,27.0,26.0,22.0,92.0,nan,69.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,44.0,35.0,25.0,35.0,27.0,22.0,92.0,nan,57.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,50.0,44.0,38.0,38.0,34.0,28.0,76.0,nan,65.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,39.0,38.0,36.0,37.0,32.0,25.0,92.0,nan,59.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,43.0,40.0,37.0,39.0,37.0,32.0,100.0,nan,79.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,40.0,36.0,31.0,36.0,31.0,22.0,92.0,nan,69.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,34.0,29.0,23.0,22.0,19.0,16.0,81.0,nan,51.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,39.0,30.0,21.0,27.0,24.0,19.0,92.0,nan,54.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
25,45.0,37.0,29.0,27.0,25.0,23.0,78.0,nan,49.0,24.0,nan,4.0,nan,nan,nan,nan,nan,nan
26,45.0,34.0,23.0,34.0,27.0,22.0,89.0,nan,53.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,41.0,34.0,26.0,35.0,29.0,17.0,92.0,nan,59.0,29.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,31.0,26.0,20.0,27.0,16.0,10.0,85.0,nan,50.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,48.0,40.0,31.0,33.0,30.0,28.0,89.0,nan,58.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,44.0,38.0,32.0,43.0,38.0,29.0,93.0,nan,76.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
31,40.0,35.0,29.0,36.0,32.0,27.0,92.0,nan,82.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
