Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), , , , , , 
1,88.0,78.0,68.0,73.0,71.0,68.0,97.0,nan,59.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,90.0,81.0,72.0,70.0,68.0,66.0,90.0,nan,47.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
3,91.0,81.0,71.0,70.0,68.0,66.0,87.0,nan,50.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,85.0,77.0,68.0,69.0,67.0,66.0,90.0,nan,61.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,87.0,78.0,69.0,69.0,68.0,66.0,97.0,nan,51.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,92.0,81.0,70.0,68.0,66.0,63.0,84.0,nan,41.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
7,88.0,82.0,76.0,70.0,67.0,65.0,74.0,nan,53.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,81.0,75.0,68.0,72.0,70.0,66.0,93.0,nan,69.0,28.0,nan,5.0,nan,nan,nan,nan,nan,nan
9,77.0,68.0,58.0,66.0,57.0,47.0,93.0,nan,36.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,74.0,64.0,54.0,60.0,58.0,54.0,97.0,nan,49.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,67.0,61.0,54.0,59.0,55.0,47.0,90.0,nan,60.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,65.0,58.0,50.0,48.0,45.0,40.0,83.0,nan,40.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,70.0,59.0,48.0,46.0,45.0,42.0,93.0,nan,37.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,82.0,67.0,52.0,54.0,51.0,45.0,77.0,nan,37.0,24.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,82.0,72.0,62.0,56.0,53.0,49.0,68.0,nan,33.0,21.0,nan,7.0,nan,nan,nan,nan,nan,nan
16,83.0,70.0,56.0,57.0,54.0,50.0,80.0,nan,39.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,85.0,73.0,61.0,68.0,62.0,55.0,90.0,nan,51.0,37.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,74.0,70.0,65.0,70.0,68.0,65.0,100.0,nan,84.0,31.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,71.0,62.0,53.0,68.0,56.0,43.0,93.0,nan,37.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,73.0,62.0,50.0,53.0,49.0,43.0,93.0,nan,39.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,74.0,63.0,52.0,54.0,49.0,44.0,100.0,nan,38.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,80.0,67.0,53.0,55.0,52.0,48.0,100.0,nan,35.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,80.0,69.0,57.0,57.0,53.0,48.0,86.0,nan,35.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,76.0,66.0,56.0,60.0,57.0,55.0,93.0,nan,50.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,73.0,67.0,60.0,62.0,60.0,58.0,100.0,nan,66.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
26,75.0,68.0,60.0,61.0,58.0,53.0,90.0,nan,53.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,74.0,68.0,61.0,63.0,61.0,54.0,93.0,nan,63.0,12.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,77.0,71.0,64.0,66.0,64.0,63.0,93.0,nan,64.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,68.0,62.0,55.0,63.0,56.0,46.0,93.0,nan,72.0,29.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,61.0,57.0,52.0,46.0,43.0,41.0,72.0,nan,49.0,25.0,nan,9.0,nan,nan,nan,nan,nan,nan
