May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,85.0,75.0,64.0,56.0,52.0,48.0,68.0,nan,34.0,13.0,nan,0.0,29.85,nan,nan,nan,nan,nan
2,88.0,77.0,66.0,69.0,64.0,57.0,79.0,nan,46.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,80.0,74.0,67.0,72.0,68.0,61.0,100.0,nan,64.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,81.0,72.0,62.0,61.0,53.0,45.0,81.0,nan,33.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,80.0,69.0,58.0,52.0,46.0,40.0,77.0,nan,27.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,78.0,69.0,59.0,60.0,49.0,33.0,84.0,nan,24.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,73.0,63.0,52.0,49.0,41.0,37.0,64.0,nan,31.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,76.0,63.0,49.0,60.0,46.0,31.0,84.0,nan,26.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,52.0,48.0,44.0,29.0,27.0,25.0,53.0,nan,39.0,25.0,nan,6.0,nan,nan,nan,nan,nan,nan
10,61.0,51.0,41.0,29.0,24.0,18.0,57.0,nan,21.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,56.0,50.0,43.0,41.0,29.0,22.0,71.0,nan,26.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,48.0,46.0,44.0,46.0,45.0,42.0,100.0,nan,86.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,67.0,55.0,43.0,45.0,40.0,35.0,93.0,nan,34.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,80.0,68.0,55.0,65.0,56.0,38.0,90.0,nan,47.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,73.0,67.0,60.0,64.0,44.0,40.0,84.0,nan,33.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,72.0,63.0,54.0,44.0,42.0,40.0,64.0,nan,31.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,74.0,65.0,55.0,47.0,38.0,28.0,67.0,nan,19.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,62.0,56.0,50.0,50.0,47.0,33.0,96.0,nan,34.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,64.0,57.0,50.0,53.0,51.0,48.0,96.0,nan,63.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,79.0,67.0,55.0,54.0,52.0,47.0,93.0,nan,35.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,85.0,73.0,61.0,59.0,55.0,52.0,78.0,nan,34.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,74.0,66.0,57.0,57.0,55.0,51.0,86.0,nan,49.0,12.0,nan,4.0,nan,nan,nan,nan,nan,nan
23,71.0,65.0,58.0,61.0,58.0,54.0,100.0,nan,72.0,15.0,nan,6.0,nan,nan,nan,nan,nan,nan
24,73.0,67.0,60.0,66.0,61.0,57.0,93.0,nan,73.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,82.0,72.0,61.0,65.0,60.0,56.0,97.0,nan,51.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,92.0,79.0,65.0,66.0,63.0,57.0,87.0,nan,38.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,83.0,69.0,55.0,65.0,59.0,50.0,93.0,nan,55.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,70.0,63.0,56.0,56.0,53.0,45.0,86.0,nan,42.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,77.0,69.0,61.0,64.0,60.0,53.0,84.0,nan,60.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,84.0,76.0,67.0,64.0,56.0,52.0,84.0,nan,34.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,86.0,78.0,69.0,65.0,61.0,55.0,84.0,nan,46.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
