Mar Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,46.0,40.0,33.0,22.0,12.0,3.0,52.0,nan,18.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,53.0,39.0,25.0,25.0,17.0,2.0,59.0,nan,22.0,21.0,nan,6.0,nan,nan,nan,nan,nan,nan
3,33.0,27.0,20.0,5.0,0.0,-4.0,47.0,nan,21.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,41.0,34.0,27.0,33.0,18.0,0.0,76.0,nan,29.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
5,61.0,51.0,41.0,46.0,41.0,34.0,89.0,nan,53.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
6,54.0,52.0,50.0,52.0,50.0,46.0,96.0,nan,83.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
7,53.0,44.0,34.0,52.0,32.0,17.0,96.0,nan,37.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,48.0,39.0,29.0,25.0,16.0,11.0,54.0,nan,23.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,45.0,40.0,34.0,32.0,28.0,25.0,82.0,nan,53.0,20.0,nan,5.0,nan,nan,nan,nan,nan,nan
10,53.0,46.0,38.0,52.0,44.0,32.0,96.0,nan,79.0,23.0,nan,8.0,nan,nan,nan,nan,nan,nan
11,55.0,48.0,40.0,52.0,44.0,26.0,100.0,nan,46.0,23.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,56.0,47.0,38.0,33.0,29.0,22.0,76.0,nan,30.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,53.0,47.0,41.0,35.0,27.0,24.0,61.0,nan,39.0,21.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,45.0,41.0,37.0,28.0,26.0,23.0,64.0,nan,41.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,47.0,41.0,34.0,32.0,29.0,23.0,76.0,nan,53.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,57.0,48.0,38.0,43.0,38.0,28.0,96.0,nan,59.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,65.0,55.0,44.0,40.0,34.0,28.0,71.0,nan,27.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,77.0,64.0,51.0,45.0,38.0,27.0,63.0,nan,25.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,59.0,49.0,38.0,34.0,25.0,20.0,50.0,nan,29.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
20,51.0,43.0,34.0,30.0,19.0,12.0,70.0,nan,23.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,45.0,41.0,36.0,43.0,36.0,29.0,93.0,nan,64.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,50.0,45.0,40.0,39.0,32.0,26.0,100.0,nan,42.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,40.0,36.0,32.0,34.0,32.0,26.0,100.0,nan,53.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,44.0,37.0,30.0,32.0,25.0,11.0,96.0,nan,30.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,42.0,35.0,28.0,16.0,13.0,7.0,58.0,nan,25.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,40.0,33.0,26.0,12.0,8.0,5.0,55.0,nan,25.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
27,45.0,37.0,28.0,12.0,9.0,3.0,50.0,nan,22.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
28,45.0,36.0,26.0,12.0,8.0,4.0,42.0,nan,24.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
29,49.0,40.0,31.0,22.0,15.0,9.0,48.0,nan,26.0,16.0,nan,5.0,nan,nan,nan,nan,nan,nan
30,53.0,45.0,36.0,30.0,24.0,21.0,62.0,nan,30.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,43.0,40.0,37.0,36.0,33.0,30.0,92.0,nan,62.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
