Jan Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,52.0,47.0,41.0,46.0,40.0,37.0,82.0,nan,59.0,15.0,nan,0.0,30.12,nan,nan,nan,nan,nan
2,50.0,42.0,33.0,40.0,20.0,15.0,74.0,nan,37.0,25.0,nan,5.0,29.82,nan,nan,nan,nan,nan
3,33.0,24.0,15.0,21.0,8.0,-1.0,69.0,nan,38.0,20.0,nan,5.0,30.14,nan,nan,nan,nan,nan
4,27.0,20.0,13.0,13.0,4.0,-3.0,61.0,nan,32.0,16.0,nan,5.0,30.23,nan,nan,nan,nan,nan
5,40.0,34.0,27.0,22.0,17.0,13.0,56.0,nan,44.0,16.0,nan,0.0,29.97,nan,nan,nan,nan,nan
6,53.0,44.0,35.0,30.0,27.0,22.0,64.0,nan,38.0,14.0,nan,4.0,29.95,nan,nan,nan,nan,nan
7,62.0,54.0,46.0,37.0,31.0,26.0,53.0,nan,33.0,15.0,nan,5.0,29.98,nan,nan,nan,nan,nan
8,46.0,40.0,33.0,26.0,22.0,15.0,53.0,nan,43.0,16.0,nan,0.0,30.32,nan,nan,nan,nan,nan
9,41.0,36.0,31.0,28.0,19.0,15.0,70.0,nan,34.0,14.0,nan,0.0,30.32,nan,nan,nan,nan,nan
10,47.0,40.0,33.0,27.0,25.0,20.0,75.0,nan,45.0,14.0,nan,4.0,30.0,nan,nan,nan,nan,nan
11,48.0,43.0,37.0,38.0,30.0,25.0,70.0,nan,45.0,14.0,nan,0.0,30.1,nan,nan,nan,nan,nan
12,45.0,43.0,41.0,45.0,42.0,39.0,100.0,nan,86.0,30.0,nan,0.0,29.83,nan,nan,nan,nan,nan
13,50.0,39.0,28.0,46.0,31.0,11.0,100.0,nan,46.0,25.0,nan,0.0,29.81,nan,nan,nan,nan,nan
14,32.0,30.0,27.0,17.0,15.0,10.0,58.0,nan,45.0,17.0,nan,4.0,30.09,nan,nan,nan,nan,nan
15,27.0,21.0,15.0,10.0,-1.0,-6.0,54.0,nan,30.0,17.0,nan,4.0,30.58,nan,nan,nan,nan,nan
16,37.0,26.0,15.0,30.0,11.0,0.0,75.0,nan,39.0,17.0,nan,0.0,30.62,nan,nan,nan,nan,nan
17,53.0,45.0,36.0,46.0,38.0,29.0,93.0,nan,77.0,17.0,nan,4.0,0.0,nan,nan,nan,nan,nan
18,54.0,39.0,24.0,46.0,18.0,8.0,77.0,nan,35.0,22.0,nan,4.0,30.18,nan,nan,nan,nan,nan
19,37.0,29.0,20.0,24.0,14.0,3.0,69.0,nan,44.0,16.0,nan,4.0,30.26,nan,nan,nan,nan,nan
20,36.0,30.0,24.0,23.0,10.0,3.0,63.0,nan,31.0,18.0,nan,0.0,30.29,nan,nan,nan,nan,nan
21,29.0,26.0,22.0,23.0,20.0,10.0,88.0,nan,46.0,17.0,nan,0.0,30.31,nan,nan,nan,nan,nan
22,34.0,26.0,18.0,28.0,19.0,9.0,82.0,nan,62.0,16.0,nan,4.0,30.54,nan,nan,nan,nan,nan
23,53.0,44.0,34.0,51.0,41.0,28.0,100.0,nan,82.0,17.0,nan,0.0,30.43,nan,nan,nan,nan,nan
24,53.0,48.0,42.0,49.0,39.0,30.0,92.0,nan,53.0,14.0,nan,4.0,30.12,nan,nan,nan,nan,nan
25,44.0,40.0,36.0,28.0,25.0,24.0,59.0,nan,49.0,16.0,nan,0.0,30.3,nan,nan,nan,nan,nan
26,40.0,37.0,33.0,39.0,32.0,24.0,100.0,nan,59.0,13.0,nan,0.0,30.25,nan,nan,nan,nan,nan
27,59.0,50.0,40.0,57.0,46.0,29.0,100.0,nan,53.0,25.0,nan,0.0,29.85,nan,nan,nan,nan,nan
28,44.0,40.0,37.0,27.0,25.0,23.0,57.0,nan,49.0,17.0,nan,0.0,30.04,nan,nan,nan,nan,nan
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan
31,55.0,54.0,54.0,31.0,30.0,30.0,41.0,nan,37.0,13.0,nan,6.0,30.05,nan,nan,nan,nan,nan
