Aug Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,78.0,74.0,70.0,73.0,69.0,65.0,100.0,nan,79.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,87.0,79.0,70.0,70.0,68.0,65.0,97.0,nan,46.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,89.0,82.0,75.0,73.0,71.0,67.0,87.0,nan,55.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,90.0,83.0,75.0,75.0,72.0,67.0,88.0,nan,47.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,91.0,82.0,73.0,75.0,73.0,68.0,93.0,nan,52.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,86.0,79.0,72.0,73.0,66.0,54.0,100.0,nan,40.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,83.0,76.0,68.0,65.0,60.0,55.0,70.0,nan,45.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,86.0,80.0,73.0,73.0,69.0,62.0,94.0,nan,51.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,88.0,81.0,73.0,73.0,70.0,66.0,94.0,nan,51.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,80.0,75.0,70.0,75.0,72.0,69.0,100.0,nan,74.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,87.0,81.0,75.0,73.0,71.0,69.0,87.0,nan,65.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,87.0,80.0,73.0,70.0,63.0,57.0,87.0,nan,40.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,86.0,78.0,69.0,60.0,58.0,54.0,73.0,nan,34.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,79.0,76.0,72.0,71.0,65.0,57.0,87.0,nan,54.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,82.0,75.0,67.0,72.0,69.0,66.0,100.0,nan,67.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,85.0,76.0,66.0,67.0,63.0,54.0,100.0,nan,37.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,88.0,77.0,65.0,72.0,63.0,57.0,93.0,nan,43.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,79.0,71.0,63.0,64.0,60.0,48.0,100.0,nan,40.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,74.0,68.0,62.0,57.0,54.0,51.0,84.0,nan,46.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,78.0,72.0,65.0,60.0,58.0,54.0,78.0,nan,47.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,82.0,74.0,66.0,60.0,57.0,51.0,78.0,nan,36.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,82.0,75.0,68.0,64.0,61.0,55.0,87.0,nan,45.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,85.0,77.0,69.0,64.0,62.0,56.0,84.0,nan,40.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,87.0,78.0,69.0,64.0,61.0,55.0,79.0,nan,34.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,86.0,78.0,70.0,69.0,64.0,59.0,90.0,nan,49.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,84.0,76.0,68.0,65.0,63.0,61.0,84.0,nan,51.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,81.0,76.0,70.0,73.0,69.0,64.0,94.0,nan,62.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,87.0,80.0,73.0,73.0,66.0,54.0,93.0,nan,37.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,79.0,73.0,67.0,58.0,52.0,48.0,68.0,nan,35.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,82.0,72.0,61.0,55.0,50.0,42.0,72.0,nan,24.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,91.0,80.0,69.0,61.0,57.0,52.0,68.0,nan,27.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
