Feb Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,45.0,41.0,36.0,38.0,21.0,14.0,76.0,nan,33.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,56.0,48.0,39.0,36.0,34.0,31.0,85.0,nan,43.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,43.0,38.0,32.0,34.0,28.0,21.0,92.0,nan,70.0,10.0,nan,4.0,nan,nan,nan,nan,nan,nan
4,35.0,29.0,22.0,24.0,21.0,16.0,81.0,nan,61.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,34.0,32.0,29.0,31.0,28.0,24.0,92.0,nan,63.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,32.0,27.0,21.0,24.0,16.0,12.0,81.0,nan,50.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,32.0,28.0,24.0,16.0,13.0,10.0,63.0,nan,43.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
8,29.0,25.0,21.0,10.0,4.0,-2.0,50.0,nan,31.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,31.0,26.0,21.0,23.0,15.0,3.0,84.0,nan,42.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,29.0,25.0,21.0,18.0,9.0,5.0,75.0,nan,38.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
11,26.0,21.0,16.0,7.0,3.0,1.0,59.0,nan,36.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,25.0,19.0,13.0,16.0,6.0,-2.0,65.0,nan,39.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
13,36.0,30.0,24.0,32.0,28.0,18.0,96.0,nan,68.0,25.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,40.0,36.0,31.0,30.0,26.0,22.0,92.0,nan,48.0,22.0,nan,5.0,nan,nan,nan,nan,nan,nan
15,37.0,32.0,27.0,28.0,25.0,12.0,92.0,nan,52.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
16,30.0,26.0,21.0,12.0,9.0,6.0,60.0,nan,39.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,32.0,25.0,18.0,6.0,2.0,-3.0,56.0,nan,25.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,39.0,33.0,26.0,31.0,23.0,8.0,92.0,nan,42.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,45.0,40.0,34.0,40.0,32.0,18.0,92.0,nan,47.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,51.0,44.0,37.0,37.0,29.0,23.0,92.0,nan,33.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,49.0,43.0,36.0,45.0,36.0,32.0,96.0,nan,67.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,54.0,47.0,40.0,32.0,24.0,17.0,70.0,nan,24.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
23,54.0,49.0,43.0,30.0,27.0,24.0,58.0,nan,32.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,44.0,36.0,27.0,27.0,13.0,5.0,57.0,nan,29.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,33.0,29.0,24.0,13.0,9.0,5.0,55.0,nan,36.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,31.0,26.0,20.0,21.0,10.0,-7.0,81.0,nan,28.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,34.0,24.0,14.0,12.0,1.0,-16.0,50.0,nan,28.0,21.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,24.0,17.0,9.0,-1.0,-7.0,-13.0,42.0,nan,26.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
