May Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,63.0,56.0,49.0,40.0,39.0,38.0,71.0,nan,46.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,74.0,61.0,48.0,43.0,40.0,35.0,80.0,nan,31.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,80.0,66.0,51.0,44.0,38.0,34.0,59.0,nan,22.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,85.0,71.0,57.0,49.0,44.0,39.0,72.0,nan,22.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,85.0,76.0,66.0,54.0,50.0,44.0,53.0,nan,34.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,73.0,66.0,59.0,52.0,41.0,36.0,53.0,nan,28.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,80.0,68.0,56.0,51.0,45.0,39.0,80.0,nan,27.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,82.0,69.0,56.0,55.0,52.0,44.0,86.0,nan,38.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,70.0,64.0,57.0,58.0,55.0,52.0,90.0,nan,63.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,83.0,72.0,61.0,65.0,61.0,57.0,90.0,nan,51.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,84.0,77.0,70.0,66.0,65.0,63.0,84.0,nan,55.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,86.0,75.0,64.0,65.0,59.0,43.0,87.0,nan,28.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,70.0,62.0,53.0,42.0,38.0,34.0,51.0,nan,35.0,15.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,73.0,62.0,50.0,37.0,33.0,24.0,56.0,nan,17.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,75.0,65.0,55.0,43.0,40.0,36.0,59.0,nan,31.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,75.0,66.0,57.0,65.0,58.0,41.0,87.0,nan,46.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,83.0,74.0,64.0,66.0,64.0,62.0,93.0,nan,51.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,75.0,68.0,60.0,65.0,57.0,51.0,90.0,nan,63.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,80.0,70.0,59.0,65.0,58.0,53.0,87.0,nan,57.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,67.0,61.0,54.0,49.0,38.0,33.0,57.0,nan,36.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
21,62.0,57.0,52.0,46.0,38.0,33.0,72.0,nan,36.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,74.0,65.0,55.0,46.0,40.0,31.0,72.0,nan,29.0,18.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,70.0,60.0,49.0,41.0,29.0,22.0,55.0,nan,20.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,81.0,69.0,56.0,50.0,43.0,35.0,55.0,nan,21.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,85.0,75.0,64.0,58.0,55.0,50.0,67.0,nan,37.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,88.0,78.0,67.0,61.0,58.0,52.0,68.0,nan,40.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,85.0,78.0,70.0,68.0,64.0,60.0,84.0,nan,55.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,85.0,78.0,70.0,68.0,64.0,53.0,90.0,nan,34.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,85.0,75.0,65.0,61.0,55.0,52.0,76.0,nan,37.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,85.0,76.0,67.0,65.0,63.0,60.0,84.0,nan,51.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,87.0,72.0,57.0,71.0,65.0,56.0,97.0,nan,51.0,20.0,nan,0.0,nan,nan,nan,nan,nan,nan
