Nov Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,59.0,51.0,43.0,52.0,38.0,28.0,75.0,nan,50.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,72.0,65.0,58.0,61.0,58.0,52.0,97.0,nan,66.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,74.0,63.0,51.0,59.0,54.0,35.0,90.0,nan,54.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,56.0,51.0,46.0,45.0,37.0,31.0,71.0,nan,41.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,61.0,56.0,51.0,60.0,53.0,44.0,100.0,nan,71.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,66.0,56.0,46.0,60.0,54.0,36.0,97.0,nan,66.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
7,49.0,45.0,40.0,39.0,35.0,32.0,93.0,nan,56.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,49.0,44.0,39.0,38.0,36.0,33.0,92.0,nan,65.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,55.0,47.0,39.0,46.0,39.0,34.0,85.0,nan,54.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,51.0,38.0,25.0,47.0,21.0,5.0,86.0,nan,29.0,18.0,nan,5.0,nan,nan,nan,nan,nan,nan
11,38.0,31.0,24.0,16.0,10.0,6.0,60.0,nan,27.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,46.0,39.0,32.0,30.0,23.0,14.0,64.0,nan,34.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,47.0,43.0,39.0,40.0,34.0,27.0,89.0,nan,53.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,48.0,42.0,35.0,34.0,33.0,30.0,82.0,nan,60.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,51.0,44.0,37.0,41.0,33.0,28.0,76.0,nan,56.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,57.0,50.0,43.0,50.0,43.0,33.0,89.0,nan,47.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,47.0,42.0,37.0,32.0,21.0,14.0,67.0,nan,28.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,56.0,45.0,34.0,49.0,32.0,17.0,93.0,nan,40.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,59.0,49.0,38.0,56.0,37.0,24.0,93.0,nan,42.0,20.0,nan,4.0,nan,nan,nan,nan,nan,nan
20,47.0,42.0,36.0,27.0,24.0,20.0,64.0,nan,37.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,58.0,50.0,42.0,40.0,31.0,24.0,59.0,nan,33.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,56.0,46.0,35.0,52.0,40.0,19.0,93.0,nan,51.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,43.0,37.0,31.0,21.0,19.0,17.0,59.0,nan,36.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,50.0,43.0,35.0,29.0,23.0,20.0,56.0,nan,31.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,57.0,50.0,43.0,34.0,32.0,29.0,62.0,nan,39.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,51.0,46.0,40.0,36.0,27.0,23.0,62.0,nan,38.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,51.0,45.0,39.0,26.0,24.0,22.0,54.0,nan,36.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,54.0,45.0,36.0,43.0,33.0,21.0,74.0,nan,45.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,63.0,53.0,42.0,44.0,33.0,19.0,80.0,nan,20.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,53.0,46.0,38.0,46.0,34.0,24.0,83.0,nan,49.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
