Dec Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,52.0,47.0,42.0,45.0,35.0,28.0,86.0,nan,44.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,48.0,44.0,39.0,34.0,30.0,27.0,70.0,nan,46.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,48.0,45.0,42.0,40.0,38.0,34.0,83.0,nan,65.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,51.0,46.0,40.0,40.0,39.0,36.0,93.0,nan,56.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,61.0,56.0,50.0,57.0,52.0,39.0,100.0,nan,61.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,59.0,50.0,40.0,55.0,28.0,15.0,93.0,nan,33.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,44.0,41.0,37.0,25.0,20.0,15.0,54.0,nan,31.0,17.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,39.0,37.0,34.0,24.0,17.0,14.0,59.0,nan,37.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,35.0,33.0,30.0,31.0,27.0,16.0,100.0,nan,44.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,39.0,34.0,29.0,29.0,23.0,20.0,92.0,nan,48.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,41.0,37.0,33.0,27.0,22.0,19.0,75.0,nan,41.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,50.0,40.0,29.0,41.0,32.0,8.0,71.0,nan,48.0,17.0,nan,5.0,nan,nan,nan,nan,nan,nan
13,31.0,26.0,20.0,12.0,6.0,1.0,52.0,nan,31.0,22.0,nan,4.0,nan,nan,nan,nan,nan,nan
14,32.0,27.0,22.0,25.0,18.0,5.0,92.0,nan,42.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,28.0,24.0,20.0,21.0,16.0,5.0,88.0,nan,47.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,39.0,31.0,23.0,25.0,20.0,16.0,81.0,nan,52.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
17,38.0,35.0,32.0,26.0,23.0,20.0,70.0,nan,54.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,47.0,41.0,34.0,35.0,32.0,24.0,89.0,nan,60.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,55.0,50.0,45.0,38.0,36.0,33.0,71.0,nan,43.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,51.0,43.0,34.0,34.0,21.0,15.0,54.0,nan,33.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,39.0,36.0,32.0,18.0,16.0,14.0,51.0,nan,37.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,50.0,43.0,35.0,42.0,30.0,18.0,86.0,nan,37.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,48.0,43.0,38.0,46.0,40.0,33.0,100.0,nan,85.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,41.0,39.0,36.0,34.0,28.0,24.0,92.0,nan,54.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
25,38.0,33.0,28.0,37.0,23.0,8.0,100.0,nan,38.0,24.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,28.0,26.0,23.0,8.0,2.0,0.0,42.0,nan,32.0,18.0,nan,4.0,nan,nan,nan,nan,nan,nan
27,24.0,21.0,17.0,5.0,1.0,-3.0,47.0,nan,32.0,14.0,nan,4.0,nan,nan,nan,nan,nan,nan
28,18.0,15.0,11.0,2.0,-4.0,-8.0,55.0,nan,33.0,17.0,nan,4.0,nan,nan,nan,nan,nan,nan
29,22.0,17.0,11.0,4.0,1.0,-3.0,58.0,nan,41.0,13.0,nan,4.0,nan,nan,nan,nan,nan,nan
30,23.0,20.0,17.0,17.0,12.0,2.0,84.0,nan,45.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
31,21.0,15.0,9.0,11.0,-1.0,-5.0,73.0,nan,42.0,17.0,nan,6.0,nan,nan,nan,nan,nan,nan
