Apr Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,48.0,43.0,37.0,36.0,35.0,33.0,92.0,nan,60.0,26.0,nan,0.0,30.04,nan,nan,nan,nan,nan
2,63.0,52.0,40.0,35.0,29.0,24.0,70.0,nan,23.0,14.0,nan,0.0,30.15,nan,nan,nan,nan,nan
3,63.0,56.0,48.0,39.0,32.0,28.0,59.0,nan,30.0,18.0,nan,0.0,30.13,nan,nan,nan,nan,nan
4,51.0,48.0,45.0,51.0,47.0,43.0,100.0,nan,74.0,18.0,nan,0.0,29.82,nan,nan,nan,nan,nan
5,65.0,55.0,45.0,46.0,44.0,40.0,100.0,nan,46.0,14.0,nan,0.0,29.99,nan,nan,nan,nan,nan
6,53.0,47.0,40.0,47.0,41.0,39.0,100.0,nan,76.0,22.0,nan,0.0,29.98,nan,nan,nan,nan,nan
7,51.0,46.0,40.0,44.0,33.0,26.0,80.0,nan,50.0,17.0,nan,4.0,29.67,nan,nan,nan,nan,nan
8,57.0,49.0,40.0,27.0,21.0,19.0,59.0,nan,24.0,17.0,nan,0.0,30.03,nan,nan,nan,nan,nan
9,67.0,56.0,45.0,36.0,25.0,19.0,50.0,nan,20.0,13.0,nan,0.0,30.17,nan,nan,nan,nan,nan
10,74.0,64.0,53.0,45.0,38.0,29.0,46.0,nan,29.0,13.0,nan,0.0,30.21,nan,nan,nan,nan,nan
11,80.0,71.0,61.0,52.0,48.0,44.0,67.0,nan,30.0,14.0,nan,0.0,30.15,nan,nan,nan,nan,nan
12,76.0,67.0,58.0,57.0,50.0,35.0,80.0,nan,25.0,10.0,nan,0.0,30.25,nan,nan,nan,nan,nan
13,65.0,57.0,48.0,45.0,30.0,23.0,62.0,nan,24.0,14.0,nan,0.0,30.37,nan,nan,nan,nan,nan
14,66.0,57.0,48.0,33.0,28.0,23.0,46.0,nan,20.0,10.0,nan,0.0,30.42,nan,nan,nan,nan,nan
15,65.0,58.0,51.0,55.0,41.0,31.0,78.0,nan,36.0,12.0,nan,0.0,30.4,nan,nan,nan,nan,nan
16,87.0,73.0,59.0,60.0,55.0,49.0,90.0,nan,29.0,21.0,nan,0.0,30.06,nan,nan,nan,nan,nan
17,74.0,66.0,58.0,58.0,41.0,25.0,73.0,nan,19.0,14.0,nan,0.0,30.16,nan,nan,nan,nan,nan
18,65.0,56.0,47.0,40.0,34.0,27.0,71.0,nan,26.0,15.0,nan,0.0,30.52,nan,nan,nan,nan,nan
19,54.0,50.0,45.0,44.0,39.0,36.0,86.0,nan,59.0,16.0,nan,0.0,30.54,nan,nan,nan,nan,nan
20,66.0,58.0,50.0,51.0,49.0,44.0,93.0,nan,60.0,13.0,nan,0.0,30.21,nan,nan,nan,nan,nan
21,53.0,51.0,48.0,50.0,48.0,47.0,100.0,nan,83.0,14.0,nan,4.0,30.07,nan,nan,nan,nan,nan
22,57.0,53.0,49.0,52.0,48.0,39.0,93.0,nan,63.0,10.0,nan,0.0,30.01,nan,nan,nan,nan,nan
23,66.0,56.0,46.0,41.0,37.0,33.0,71.0,nan,31.0,12.0,nan,0.0,30.14,nan,nan,nan,nan,nan
24,60.0,54.0,48.0,45.0,42.0,38.0,80.0,nan,51.0,10.0,nan,0.0,30.18,nan,nan,nan,nan,nan
25,54.0,52.0,49.0,52.0,50.0,45.0,100.0,nan,77.0,25.0,nan,6.0,30.12,nan,nan,nan,nan,nan
26,60.0,57.0,53.0,58.0,55.0,52.0,100.0,nan,87.0,18.0,nan,0.0,29.87,nan,nan,nan,nan,nan
27,70.0,64.0,57.0,61.0,58.0,56.0,100.0,nan,68.0,16.0,nan,0.0,29.95,nan,nan,nan,nan,nan
28,85.0,72.0,58.0,61.0,55.0,41.0,100.0,nan,26.0,12.0,nan,0.0,30.04,nan,nan,nan,nan,nan
29,85.0,75.0,64.0,65.0,60.0,53.0,93.0,nan,43.0,23.0,nan,0.0,30.12,nan,nan,nan,nan,nan
30,67.0,60.0,52.0,52.0,41.0,37.0,66.0,nan,42.0,14.0,nan,4.0,30.25,nan,nan,nan,nan,nan
