Jun Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,81.0,73.0,65.0,70.0,67.0,64.0,100.0,nan,69.0,7.0,nan,0.0,29.9,nan,nan,nan,nan,nan
2,87.0,77.0,66.0,70.0,68.0,64.0,97.0,nan,53.0,14.0,nan,0.0,29.91,nan,nan,nan,nan,nan
3,66.0,59.0,51.0,64.0,53.0,47.0,96.0,nan,60.0,14.0,nan,0.0,30.06,nan,nan,nan,nan,nan
4,71.0,61.0,51.0,57.0,52.0,49.0,100.0,nan,57.0,12.0,nan,0.0,29.94,nan,nan,nan,nan,nan
5,75.0,67.0,58.0,57.0,51.0,45.0,93.0,nan,43.0,15.0,nan,0.0,29.73,nan,nan,nan,nan,nan
6,71.0,65.0,58.0,54.0,50.0,46.0,78.0,nan,47.0,8.0,nan,0.0,30.03,nan,nan,nan,nan,nan
7,71.0,66.0,60.0,56.0,53.0,51.0,84.0,nan,49.0,9.0,nan,0.0,30.16,nan,nan,nan,nan,nan
8,82.0,71.0,60.0,63.0,58.0,54.0,84.0,nan,45.0,9.0,nan,0.0,30.17,nan,nan,nan,nan,nan
9,83.0,75.0,67.0,64.0,55.0,48.0,73.0,nan,35.0,8.0,nan,0.0,30.14,nan,nan,nan,nan,nan
10,73.0,66.0,58.0,57.0,53.0,48.0,78.0,nan,44.0,9.0,nan,0.0,30.09,nan,nan,nan,nan,nan
11,73.0,66.0,58.0,55.0,49.0,42.0,87.0,nan,42.0,9.0,nan,0.0,30.2,nan,nan,nan,nan,nan
12,75.0,66.0,57.0,53.0,48.0,44.0,72.0,nan,38.0,10.0,nan,0.0,30.25,nan,nan,nan,nan,nan
13,78.0,71.0,63.0,69.0,64.0,52.0,90.0,nan,63.0,12.0,nan,0.0,30.09,nan,nan,nan,nan,nan
14,84.0,76.0,67.0,69.0,53.0,45.0,82.0,nan,26.0,15.0,nan,4.0,29.89,nan,nan,nan,nan,nan
15,76.0,70.0,63.0,53.0,51.0,47.0,60.0,nan,46.0,13.0,nan,0.0,30.0,nan,nan,nan,nan,nan
16,85.0,75.0,64.0,55.0,50.0,44.0,68.0,nan,26.0,8.0,nan,0.0,30.06,nan,nan,nan,nan,nan
17,91.0,79.0,66.0,58.0,53.0,47.0,68.0,nan,23.0,9.0,nan,0.0,30.1,nan,nan,nan,nan,nan
18,91.0,82.0,73.0,74.0,68.0,59.0,94.0,nan,52.0,14.0,nan,4.0,30.06,nan,nan,nan,nan,nan
19,88.0,82.0,75.0,74.0,63.0,49.0,94.0,nan,29.0,12.0,nan,0.0,29.87,nan,nan,nan,nan,nan
20,83.0,76.0,69.0,67.0,57.0,49.0,79.0,nan,37.0,8.0,nan,0.0,29.91,nan,nan,nan,nan,nan
21,83.0,74.0,65.0,70.0,64.0,54.0,100.0,nan,37.0,8.0,nan,0.0,29.85,nan,nan,nan,nan,nan
22,75.0,69.0,62.0,64.0,60.0,54.0,87.0,nan,59.0,10.0,nan,0.0,30.06,nan,nan,nan,nan,nan
23,65.0,64.0,62.0,62.0,59.0,53.0,93.0,nan,67.0,13.0,nan,0.0,30.02,nan,nan,nan,nan,nan
24,83.0,75.0,66.0,70.0,66.0,62.0,93.0,nan,63.0,8.0,nan,0.0,29.87,nan,nan,nan,nan,nan
25,81.0,74.0,67.0,65.0,55.0,44.0,84.0,nan,31.0,15.0,nan,0.0,30.17,nan,nan,nan,nan,nan
26,78.0,70.0,61.0,61.0,55.0,46.0,78.0,nan,40.0,9.0,nan,0.0,30.28,nan,nan,nan,nan,nan
27,73.0,69.0,66.0,67.0,60.0,55.0,93.0,nan,57.0,7.0,nan,0.0,30.16,nan,nan,nan,nan,nan
28,83.0,77.0,70.0,74.0,71.0,67.0,100.0,nan,65.0,13.0,nan,0.0,29.89,nan,nan,nan,nan,nan
29,89.0,80.0,70.0,0.0,0.0,0.0,84.0,nan,36.0,10.0,nan,0.0,0.0,nan,nan,nan,nan,nan
30,93.0,83.0,72.0,0.0,0.0,0.0,61.0,nan,36.0,9.0,nan,0.0,0.0,nan,nan,nan,nan,nan
