Jul Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,96.0,88.0,79.0,71.0,69.0,65.0,67.0,nan,43.0,9.0,nan,0.0,30.04,nan,nan,nan,nan,nan
2,95.0,87.0,79.0,74.0,70.0,66.0,79.0,nan,39.0,10.0,nan,0.0,30.09,nan,nan,nan,nan,nan
3,92.0,85.0,77.0,77.0,74.0,70.0,91.0,nan,60.0,9.0,nan,0.0,30.24,nan,nan,nan,nan,nan
4,86.0,82.0,77.0,76.0,73.0,70.0,88.0,nan,65.0,7.0,nan,0.0,30.34,nan,nan,nan,nan,nan
5,90.0,83.0,76.0,74.0,72.0,71.0,88.0,nan,59.0,10.0,nan,0.0,30.34,nan,nan,nan,nan,nan
6,80.0,75.0,69.0,75.0,70.0,52.0,100.0,nan,43.0,16.0,nan,0.0,30.16,nan,nan,nan,nan,nan
7,78.0,70.0,62.0,52.0,47.0,40.0,63.0,nan,31.0,15.0,nan,0.0,30.36,nan,nan,nan,nan,nan
8,84.0,73.0,62.0,54.0,52.0,48.0,72.0,nan,33.0,8.0,nan,0.0,30.38,nan,nan,nan,nan,nan
9,87.0,77.0,67.0,60.0,56.0,49.0,64.0,nan,34.0,9.0,nan,0.0,30.27,nan,nan,nan,nan,nan
10,93.0,83.0,72.0,64.0,59.0,53.0,61.0,nan,28.0,10.0,nan,0.0,30.03,nan,nan,nan,nan,nan
11,88.0,81.0,74.0,67.0,64.0,59.0,73.0,nan,39.0,12.0,nan,0.0,30.07,nan,nan,nan,nan,nan
12,84.0,74.0,64.0,66.0,61.0,49.0,93.0,nan,34.0,9.0,nan,0.0,30.24,nan,nan,nan,nan,nan
13,84.0,76.0,68.0,63.0,59.0,56.0,76.0,nan,40.0,9.0,nan,0.0,30.26,nan,nan,nan,nan,nan
14,88.0,79.0,70.0,65.0,61.0,57.0,66.0,nan,40.0,13.0,nan,0.0,30.17,nan,nan,nan,nan,nan
15,83.0,76.0,69.0,71.0,69.0,66.0,93.0,nan,62.0,10.0,nan,0.0,30.14,nan,nan,nan,nan,nan
16,90.0,83.0,75.0,74.0,71.0,69.0,82.0,nan,56.0,8.0,nan,0.0,29.99,nan,nan,nan,nan,nan
17,88.0,79.0,70.0,75.0,71.0,69.0,100.0,nan,69.0,16.0,nan,0.0,29.91,nan,nan,nan,nan,nan
18,85.0,76.0,66.0,70.0,58.0,49.0,100.0,nan,31.0,12.0,nan,0.0,29.99,nan,nan,nan,nan,nan
19,83.0,75.0,66.0,58.0,52.0,47.0,63.0,nan,28.0,9.0,nan,0.0,30.12,nan,nan,nan,nan,nan
20,82.0,76.0,69.0,65.0,60.0,54.0,84.0,nan,42.0,8.0,nan,0.0,30.17,nan,nan,nan,nan,nan
21,79.0,72.0,65.0,66.0,60.0,55.0,100.0,nan,50.0,15.0,nan,0.0,30.1,nan,nan,nan,nan,nan
22,79.0,75.0,70.0,74.0,71.0,66.0,100.0,nan,74.0,14.0,nan,0.0,30.05,nan,nan,nan,nan,nan
23,80.0,77.0,73.0,75.0,73.0,72.0,100.0,nan,82.0,12.0,nan,0.0,30.22,nan,nan,nan,nan,nan
24,82.0,79.0,75.0,74.0,73.0,72.0,94.0,nan,74.0,14.0,nan,0.0,30.22,nan,nan,nan,nan,nan
25,77.0,75.0,72.0,74.0,73.0,71.0,100.0,nan,88.0,13.0,nan,0.0,30.1,nan,nan,nan,nan,nan
26,85.0,79.0,72.0,72.0,71.0,67.0,100.0,nan,58.0,8.0,nan,0.0,29.94,nan,nan,nan,nan,nan
27,86.0,77.0,68.0,74.0,70.0,67.0,100.0,nan,61.0,12.0,nan,0.0,30.07,nan,nan,nan,nan,nan
28,85.0,78.0,70.0,72.0,69.0,62.0,100.0,nan,55.0,8.0,nan,0.0,30.03,nan,nan,nan,nan,nan
29,82.0,76.0,70.0,64.0,60.0,55.0,73.0,nan,45.0,9.0,nan,0.0,30.12,nan,nan,nan,nan,nan
30,78.0,73.0,68.0,70.0,64.0,57.0,97.0,nan,54.0,7.0,nan,0.0,30.18,nan,nan,nan,nan,nan
31,82.0,75.0,68.0,66.0,65.0,61.0,87.0,nan,60.0,8.0,nan,0.0,30.14,nan,nan,nan,nan,nan
