Sep Time,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph), Pressure (Hg), Pressure (Hg), Pressure (Hg), , , 
1,78.0,74.0,69.0,64.0,62.0,60.0,78.0,nan,54.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
2,81.0,75.0,68.0,71.0,67.0,63.0,87.0,nan,62.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
3,90.0,83.0,75.0,75.0,73.0,71.0,87.0,nan,56.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
4,92.0,85.0,77.0,72.0,69.0,67.0,74.0,nan,52.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
5,89.0,83.0,77.0,75.0,72.0,69.0,88.0,nan,61.0,6.0,nan,0.0,nan,nan,nan,nan,nan,nan
6,93.0,83.0,73.0,75.0,73.0,71.0,100.0,nan,52.0,16.0,nan,0.0,nan,nan,nan,nan,nan,nan
7,75.0,72.0,69.0,72.0,68.0,64.0,93.0,nan,73.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
8,71.0,66.0,61.0,65.0,57.0,52.0,90.0,nan,53.0,15.0,nan,0.0,nan,nan,nan,nan,nan,nan
9,62.0,59.0,55.0,58.0,53.0,45.0,93.0,nan,52.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
10,64.0,59.0,54.0,63.0,58.0,51.0,100.0,nan,86.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
11,74.0,68.0,62.0,70.0,65.0,61.0,100.0,nan,84.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
12,77.0,74.0,71.0,73.0,71.0,70.0,100.0,nan,87.0,5.0,nan,0.0,nan,nan,nan,nan,nan,nan
13,76.0,73.0,69.0,70.0,68.0,67.0,100.0,nan,79.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan
14,75.0,72.0,68.0,68.0,66.0,63.0,90.0,nan,73.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan
15,80.0,74.0,67.0,68.0,65.0,61.0,93.0,nan,62.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan
16,84.0,76.0,67.0,68.0,65.0,63.0,87.0,nan,51.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan
17,79.0,74.0,68.0,71.0,69.0,64.0,90.0,nan,76.0,7.0,nan,0.0,nan,nan,nan,nan,nan,nan
18,79.0,75.0,70.0,74.0,72.0,69.0,100.0,nan,85.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
19,81.0,75.0,68.0,69.0,66.0,60.0,97.0,nan,51.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
20,72.0,69.0,65.0,65.0,60.0,57.0,87.0,nan,66.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
21,72.0,70.0,67.0,66.0,62.0,59.0,81.0,nan,73.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
22,74.0,68.0,62.0,68.0,56.0,47.0,84.0,nan,52.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
23,66.0,63.0,60.0,58.0,53.0,48.0,84.0,nan,60.0,9.0,nan,0.0,nan,nan,nan,nan,nan,nan
24,69.0,63.0,57.0,57.0,53.0,50.0,84.0,nan,59.0,16.0,nan,4.0,nan,nan,nan,nan,nan,nan
25,73.0,66.0,59.0,72.0,65.0,51.0,100.0,nan,72.0,12.0,nan,0.0,nan,nan,nan,nan,nan,nan
26,82.0,76.0,69.0,74.0,72.0,68.0,100.0,nan,74.0,10.0,nan,0.0,nan,nan,nan,nan,nan,nan
27,72.0,67.0,61.0,66.0,56.0,46.0,78.0,nan,49.0,13.0,nan,0.0,nan,nan,nan,nan,nan,nan
28,65.0,61.0,56.0,61.0,57.0,53.0,93.0,nan,73.0,14.0,nan,0.0,nan,nan,nan,nan,nan,nan
29,72.0,65.0,58.0,56.0,54.0,49.0,93.0,nan,49.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
30,70.0,62.0,54.0,58.0,52.0,44.0,80.0,nan,47.0,8.0,nan,0.0,nan,nan,nan,nan,nan,nan
