Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2001-04-01,48,39,30,28,24,22,82,-,37,21,-,0,29.97,-,29.75,-,0.00,-
2001-04-02,60,45,30,34,27,23,75,-,35,17,-,0,30.03,-,29.89,-,0.00,-
2001-04-03,45,40,35,35,32,26,89,-,60,18,-,7,30.31,-,30,-,0.00,-
2001-04-04,52,42,32,34,31,28,92,-,41,14,-,4,30.4,-,30.29,-,0.00,-
2001-04-05,60,48,36,52,38,28,100,-,35,13,-,4,30.28,-,29.84,-,0.04,-
2001-04-06,62,53,44,61,53,42,100,-,86,13,-,0,29.98,-,29.79,-,0.18,-
2001-04-07,82,63,44,62,49,37,100,-,20,29,-,5,29.79,-,29.54,-,0.00,-
2001-04-08,77,61,45,45,42,39,82,-,31,16,-,6,29.89,-,29.74,-,0.00,-
2001-04-09,59,50,44,52,43,37,93,-,59,22,-,6,29.88,-,29.77,-,0.24,-
2001-04-10,51,48,44,47,43,41,96,-,80,14,-,6,29.96,-,29.86,-,0.00,-
2001-04-11,77,62,48,66,56,46,100,-,60,23,-,4,29.84,-,29.44,-,0.53,-
2001-04-12,66,57,46,54,41,37,74,-,50,31,-,8,29.97,-,29.37,-,0.00,-
2001-04-13,59,49,39,39,36,33,85,-,41,12,-,0,30.13,-,30,-,0.00,-
2001-04-14,64,52,39,46,35,27,96,-,25,15,-,0,30.06,-,29.93,-,0.01,-
2001-04-15,54,49,45,44,40,32,93,-,45,23,-,4,29.96,-,29.83,-,0.19,-
2001-04-16,42,36,28,32,25,18,100,-,47,25,-,8,30.11,-,29.98,-,0.02,-
2001-04-17,46,37,28,30,24,19,96,-,34,24,-,0,30.37,-,30.1,-,0.00,-
2001-04-18,55,41,28,28,24,21,88,-,28,14,-,0,30.34,-,30.13,-,0.00,-
2001-04-19,68,50,35,33,31,27,73,-,28,17,-,4,30.12,-,29.89,-,0.00,-
2001-04-20,77,64,51,59,53,42,96,-,48,25,-,9,29.88,-,29.75,-,0.18,-
2001-04-21,82,72,59,64,60,52,100,-,42,28,-,5,30.09,-,29.72,-,0.32,-
2001-04-22,78,64,51,66,55,47,97,-,57,16,-,4,30.22,-,29.92,-,0.09,-
2001-04-23,72,58,44,63,52,37,94,-,53,26,-,14,29.93,-,29.64,-,0.57,-
2001-04-24,61,51,42,39,32,27,81,-,28,18,-,4,30.26,-,29.93,-,0.00,-
2001-04-25,60,52,44,42,38,34,74,-,46,14,-,0,30.29,-,30.2,-,0.00,-
2001-04-26,75,60,46,47,43,38,71,-,33,20,-,6,30.21,-,29.97,-,0.00,-
2001-04-27,63,54,44,46,33,26,74,-,27,17,-,0,30.3,-,30.01,-,0.00,-
2001-04-28,64,53,42,38,35,30,76,-,35,13,-,0,30.45,-,30.3,-,0.00,-
2001-04-29,75,60,46,40,35,31,71,-,26,13,-,7,30.43,-,30.24,-,0.00,-
2001-04-30,84,66,50,56,45,31,73,-,31,14,-,4,30.24,-,29.97,-,0.04,-
