Date,Max Temperature (° F),Avg Temperature (° F),Min Temperature (° F),Max Dew Point (° F),Avg Dew Point (° F),Min Dew Point (° F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (Hg),Avg Pressure (Hg),Min Pressure (Hg),Max Precipation (in),Avg Precipation (in),Min Precipation (in)
2015-12-01,51,48,44,46,43,37,93,-,70,12,-,0,30.32,-,30,-,0.33,-
2015-12-02,57,52,46,55,49,43,93,-,86,9,-,0,30.01,-,29.66,-,0.14,-
2015-12-03,55,50,44,45,33,27,89,-,42,16,-,4,30.23,-,29.65,-,0.00,-
2015-12-04,51,47,42,31,29,28,62,-,41,12,-,0,30.58,-,30.24,-,0.00,-
2015-12-05,51,46,40,32,30,29,65,-,41,9,-,0,30.69,-,30.59,-,0.00,-
2015-12-06,53,46,39,33,32,31,79,-,41,12,-,0,30.6,-,30.25,-,0.00,-
2015-12-07,54,48,42,33,31,25,70,-,32,10,-,0,30.24,-,30.04,-,0.00,-
2015-12-08,49,45,41,32,30,29,62,-,50,13,-,0,30.13,-,30.06,-,0.00,-
2015-12-09,55,48,40,46,38,30,76,-,46,13,-,0,30.17,-,29.99,-,0.00,-
2015-12-10,60,56,51,45,43,40,77,-,47,12,-,0,30,-,29.93,-,0.00,-
2015-12-11,61,56,50,45,44,42,77,-,55,13,-,0,30.01,-,29.89,-,0.00,-
2015-12-12,66,61,55,49,46,45,67,-,48,9,-,0,30.15,-,30.04,-,0.00,-
2015-12-13,67,61,55,50,47,44,67,-,52,12,-,0,30.17,-,30.1,-,0.00,-
2015-12-14,67,60,53,62,53,46,90,-,66,13,-,0,30.09,-,29.42,-,0.33,-
2015-12-15,68,61,53,63,43,35,87,-,39,21,-,5,29.88,-,29.36,-,0.09,-
2015-12-16,53,50,46,45,37,31,80,-,44,14,-,0,30.16,-,29.91,-,0.04,-
2015-12-17,59,55,50,55,52,41,87,-,68,12,-,0,30.07,-,29.65,-,1.21,-
2015-12-18,57,48,38,51,34,17,83,-,39,17,-,0,29.84,-,29.66,-,0.00,-
2015-12-19,40,38,35,21,16,13,48,-,34,20,-,4,30.28,-,29.84,-,0.00,-
2015-12-20,43,39,34,21,17,15,48,-,33,17,-,0,30.52,-,30.29,-,0.00,-
2015-12-21,56,48,39,44,32,19,67,-,41,17,-,4,30.41,-,30.09,-,0.00,-
2015-12-22,62,58,53,56,52,45,86,-,66,14,-,0,30.11,-,29.9,-,0.19,-
2015-12-23,64,58,52,61,54,49,93,-,80,10,-,0,30.23,-,29.84,-,1.55,-
2015-12-24,72,68,63,64,60,49,93,-,52,15,-,0,30.12,-,29.82,-,0.01,-
2015-12-25,66,62,57,58,53,49,87,-,60,8,-,0,30.25,-,30.1,-,0.01,-
2015-12-26,59,53,47,47,36,30,71,-,43,15,-,0,30.53,-,30.28,-,0.00,-
2015-12-27,61,54,46,56,48,33,96,-,61,15,-,0,30.29,-,29.8,-,0.12,-
2015-12-28,46,40,34,30,24,18,75,-,36,18,-,4,30.52,-,30.12,-,0.03,-
2015-12-29,46,40,34,43,37,28,92,-,82,18,-,0,30.39,-,29.92,-,0.45,-
2015-12-30,48,43,38,44,39,35,86,-,76,9,-,0,30.33,-,30.06,-,0.19,-
2015-12-31,48,45,42,43,37,26,92,-,49,14,-,0,30.1,-,30,-,0.03,-
