,bus,rail_boardings,total_rides,is_sat,is_holi,avg_precip,temp_mid,temp_rng,temp_bs,hum_mid,hum_rng,wind_mid,wind_rng,pres_mid,pres_rng
2001-01-01,297192,126455,423647,0,1,0.0,19.0,14,1.0,74.0,28,9.0,10,30.48,0.17999999999999972
2001-01-02,780827,501952,1282779,0,0,0.0,13.0,12,0.0,78.0,20,9.0,10,30.560000000000002,0.26000000000000156
2001-01-03,824923,536432,1361355,0,0,0.0,18.5,19,-0.5,83.0,20,12.0,12,30.215,0.3500000000000014
2001-01-04,870021,550011,1420032,0,0,0.0,27.5,9,-1.5,86.0,14,13.0,18,29.869999999999997,0.5800000000000018
2001-01-05,890426,557917,1448343,0,0,0.31,30.5,13,1.5,70.5,23,13.5,17,29.725,0.34999999999999787
2001-01-06,577401,255356,832757,1,0,0.05,27.0,16,0.0,75.0,22,12.0,16,29.78,0.23999999999999844
2001-01-07,375831,169825,545656,0,1,0.0,29.0,12,1.0,74.0,30,10.5,9,29.88,0.3200000000000003
2001-01-08,985221,590706,1575927,0,0,0.0,22.5,11,-0.5,67.0,28,10.0,8,30.15,0.22000000000000242
2001-01-09,978377,599905,1578282,0,0,0.0,18.5,13,-0.5,73.5,23,11.0,12,30.31,0.14000000000000057
2001-01-10,984884,602052,1586936,0,0,0.0,27.0,16,0.0,70.5,23,11.5,9,30.195,0.10999999999999943
2001-01-11,995561,607503,1603064,0,0,0.0,31.0,12,0.0,73.5,23,6.5,5,30.135,0.07000000000000028
2001-01-12,1018985,605252,1624237,0,0,0.0,32.0,8,0.0,83.5,17,4.0,8,30.21,0.14000000000000057
2001-01-13,591791,270056,861847,1,0,0.0,35.0,4,0.0,85.5,15,9.5,9,30.165,0.21000000000000085
2001-01-14,373091,174842,547933,0,1,0.23,35.0,4,0.0,85.0,30,10.0,8,29.950000000000003,0.1999999999999993
2001-01-15,675845,412149,1087994,0,0,0.01,33.5,3,0.5,90.5,19,13.0,10,29.979999999999997,0.1999999999999993
2001-01-16,1024367,622163,1646530,0,0,0.0,29.5,5,0.5,81.0,14,11.0,8,30.205,0.25
2001-01-17,1018690,620343,1639033,0,0,0.0,24.0,6,0.0,84.5,15,9.5,7,30.259999999999998,0.1999999999999993
2001-01-18,1006996,618832,1625828,0,0,0.0,25.5,13,0.5,86.5,27,10.0,8,30.065,0.21000000000000085
